label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-05-07 23:12:02.062,2,0,0,0:0:10,0,eq,2023-05-07 23:12:02.062,2,0,2023-05-07 23:13:02.230
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-07 11:09:05.242,725,0,0,10:0:25,0,eq,2023-05-07 11:09:05.242,725,0,2023-05-07 23:13:02.442
MSCPROD GTICT|HMSCINT,0,eq,2023-05-07 23:02:03.004,12,0,0,0:1:0,0,eq,2023-05-07 23:02:03.004,12,0,2023-05-07 23:13:02.643
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-07 23:02:03.198,12,0,0,0:1:0,0,eq,2023-05-07 23:02:03.198,12,0,2023-05-07 23:13:02.854
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-07 21:57:03.470,77,0,0,1:0:25,0,eq,2023-05-07 21:57:03.470,77,0,2023-05-07 23:13:03.066
TOTAL,0,eq,2023-05-07 11:08:24.555,726,0,0,10:0:30,,eq,2023-05-07 11:08:24.555,726,0,2023-05-07 23:13:03.285
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-07 23:06:04.064,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.064,8,0,2023-05-07 23:13:04.264
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-07 23:06:04.111,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.111,8,0,2023-05-07 23:13:04.319
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-07 23:06:04.159,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.159,8,0,2023-05-07 23:13:04.373
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-07 23:06:04.208,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.208,8,0,2023-05-07 23:13:04.426
MSCPROD GTARCEP|HMSC,0,ou,2023-05-07 23:06:04.257,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.257,8,0,2023-05-07 23:13:04.476
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-07 23:06:04.307,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.307,8,0,2023-05-07 23:13:04.527
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-07 23:01:05.163,13,0,0,0:1:5,0,ou,2023-05-07 23:01:05.163,13,0,2023-05-07 23:13:04.576
ARC_SMS GTARC|HSMSC,0,ou,2023-05-07 23:01:05.383,13,0,0,0:1:5,0,ou,2023-05-07 23:01:05.383,13,0,2023-05-07 23:13:04.624
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-07 22:56:05.492,18,0,0,0:1:30,0,ou,2023-05-07 22:56:05.492,18,0,2023-05-07 23:13:04.671
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-07 22:56:05.540,18,0,0,0:1:30,0,ou,2023-05-07 22:56:05.540,18,0,2023-05-07 23:13:04.717
GTSBC2 GTARC|SBC,0,ou,2023-05-07 22:53:04.677,21,0,0,0:1:45,0,ou,2023-05-07 22:53:04.677,21,0,2023-05-07 23:13:04.763
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-07 22:00:04.602,74,0,0,1:0:10,0,ou,2023-05-07 22:00:04.602,74,0,2023-05-07 23:13:04.809
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-07 21:32:04.129,102,0,0,1:2:30,0,ou,2023-05-07 21:32:04.129,102,0,2023-05-07 23:13:04.854
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-07 21:05:07.439,129,0,0,1:4:45,0,ou,2023-05-07 21:05:07.439,129,0,2023-05-07 23:13:04.898
MSCPROD GTARIS|HMSC,0,ou,2023-05-07 16:56:12.240,378,0,0,5:1:30,0,ou,2023-05-07 16:56:12.240,378,0,2023-05-07 23:13:04.943
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-07 15:51:06.315,443,0,0,6:0:55,0,ou,2023-05-07 15:51:06.315,443,0,2023-05-07 23:13:04.983
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-07 11:08:27.210,726,0,0,10:0:30,0,ou,2023-05-07 11:08:27.210,726,0,2023-05-07 23:13:05.022
