label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTARC|OCEVC,0,in,2023-05-01 12:23:04.223,1,0,0,00:00:00,0,in,2023-05-01 12:23:06.181,1,0,2023-05-01 12:23:05.706
ARC_DAT GTARC|ODATA,0,eq,2023-05-01 09:56:02.323,148,0,0,2:0:20,0,eq,2023-05-01 09:56:02.323,148,0,2023-05-01 12:23:07.349
GTEVC GTSGBDO|CBEVCMA,0,in,2023-05-01 12:23:09.237,1,0,0,00:00:00,0,in,2023-05-01 12:23:09.393,1,0,2023-05-01 12:23:09.366
ARC_GFT GTARC|OGFT,0,eq,2023-05-01 09:57:02.624,147,0,0,2:0:15,0,eq,2023-05-01 09:57:02.624,147,0,2023-05-01 12:23:10.050
GTEVCTR GTARC|OCTRA,0,in,2023-05-01 12:23:10.437,1,0,0,00:00:00,0,in,2023-05-01 12:23:10.493,1,0,2023-05-01 12:23:10.467
ARC_GFT GTSGBDO|OCSGFT,0,eq,2023-05-01 12:22:31.170,2,0,0,0:0:10,0,eq,2023-05-01 12:22:31.170
GTEVCTR GTSGBDO|CEVCTMA,0,2,0,2023-05-01 12:23:10.942,in,2023-05-01 12:23:10.969,1,0,0,00:00:00,0,in,2023-05-01 12:23:11.076,1,0,2023-05-01 12:23:11.051
ARC_LOA GTARC|OCSL,0,eq,2023-05-01 09:57:02.841,147,0,0,2:0:15,0,eq,2023-05-01 09:57:02.841,147,0,2023-05-01 12:23:12.582
TOTAL,0,in,2023-05-01 12:23:13.848,1,0,0,00:00:00,0,in,2023-05-01 12:23:13.876,1,0,2023-05-01 12:23:13.851
ARC_MGR GTARC|OMGR,0,eq,2023-05-01 09:56:06.413,148,0,0,2:0:20,0,eq,2023-05-01 09:56:06.413,148,0,2023-05-01 12:23:14.156
ARC_MON GTARC|OMON,0,eq,2023-05-01 09:56:07.271,148,0,0,2:0:20,0,eq,2023-05-01 09:56:07.271,148,0,2023-05-01 12:23:14.843
ARC_REC GTARC|OREC,0,eq,2023-05-01 09:57:03.465,147,0,0,2:0:15,0,eq,2023-05-01 09:57:03.465,147,0,2023-05-01 12:23:15.072
ARC_SMO GTARC|OSMS,0,ou,2023-05-01 12:23:15.254,1,0,0,00:00:00,0,ou,2023-05-01 12:23:15.275,1,0,2023-05-01 12:23:15.257
ARC_VOU GTARC|OVOU,0,ou,2023-05-01 12:23:15.363,1,0,0,00:00:00
ARC_SMO GTARC|OSMS,0,0,in,2023-05-01 12:23:15.371,1,0,0,00:00:00,0,ou,2023-05-01 12:23:15.383,1,0,2023-05-01 12:23:15.365,in,2023-05-01 12:23:15.392,1,0,2023-05-01 12:23:15.373
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-01 12:23:15.405,1,0,0,00:00:00,0,ou,2023-05-01 12:23:15.426,1,0,2023-05-01 12:23:15.407
ARC_VOU GTARC|OVOU,0,in,2023-05-01 12:23:15.496,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.515,1,0,2023-05-01 12:23:15.499
ARC_VOU GTSGBDO|OCSVOU,0,in,2023-05-01 12:23:15.615,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.634,1,0,2023-05-01 12:23:15.618
GTEVC GTARC|OCEVC,0,in,2023-05-01 12:23:15.734,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.752,1,0,2023-05-01 12:23:15.736
GTEVC GTSGBDO|CBEVCMA,0,in,2023-05-01 12:23:15.851,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.869,1,0,2023-05-01 12:23:15.853
GTEVCTR GTARC|OCTRA,0,in,2023-05-01 12:23:15.968,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.986,1,0,2023-05-01 12:23:15.970
GTEVCTR GTSGBDO|CEVCTMA,0,in,2023-05-01 12:23:16.087,1,0,0,00:00:00,0,in,2023-05-01 12:23:16.105,1,0,2023-05-01 12:23:16.089
GTOCS5D GTSGBDO|CBP52DA,0,in,2023-05-01 12:23:16.204,1,0,0,00:00:00,0,in,2023-05-01 12:23:16.222,1,0,2023-05-01 12:23:16.207
GTOCS5M GTSGBDO|CBPMG52,0,in,2023-05-01 12:23:17.796,1,0,0,00:00:00,0,in,2023-05-01 12:23:17.814,1,0,2023-05-01 12:23:17.798
GTOCS5S GTSGBDO|CBPSM52,0,in,2023-05-01 12:23:18.547,1,0,0,00:00:00,0,in,2023-05-01 12:23:18.565,1,0,2023-05-01 12:23:18.549
TOTAL,0,in,2023-05-01 12:23:18.667,1,0,0,00:00:00,0,in,2023-05-01 12:23:18.686,1,0,2023-05-01 12:23:18.670
