label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 07:47:06.032,429,0,0,5:5:45,0,eq,2023-05-12 07:47:06.032,429,0,2023-05-12 14:55:05.050
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 07:47:08.031,429,0,0,5:5:45,0,eq,2023-05-12 07:47:08.031,429,0,2023-05-12 14:55:07.095
GTOCS5D GTSGBDO|CBP52DA,0,in,2023-05-12 14:55:08.347,1,0,0,00:00:00,0,in,2023-05-12 14:55:08.510,1,0,2023-05-12 14:55:08.358
GTOCS5L GTSGBDO|CBPLOAN,0,in,2023-05-12 14:55:10.159,1,0,0,00:00:00,0,in,2023-05-12 14:55:10.398,1,0,2023-05-12 14:55:10.190
TOTAL,0,eq,2023-05-12 07:47:11.816,429,0,0,5:5:45,0,eq,2023-05-12 07:47:11.816,429,0,2023-05-12 14:55:11.916
ARC_DAT GTARC|ODATA,0,ou,2023-05-12 14:55:25.703,1,0,0,00:00:00,0,ou,2023-05-12 14:55:25.822,1,0,2023-05-12 14:55:25.712
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-12 14:55:25.955,1,0,0,00:00:00,0,ou,2023-05-12 14:55:26.069,1,0,2023-05-12 14:55:25.973
ARC_MGR GTARC|OMGR,0,ou,2023-05-12 14:55:26.209,1,0,0,00:00:00,0,ou,2023-05-12 14:55:26.316,1,0,2023-05-12 14:55:26.222
ARC_MON GTARC|OMON,0,ou,2023-05-12 14:55:26.435,1,0,0,00:00:00,0,ou,2023-05-12 14:55:26.551,1,0,2023-05-12 14:55:26.450
ARC_SMO GTARC|OSMS,0,ou,2023-05-12 14:55:26.716,1,0,0,00:00:00,0,ou,2023-05-12 14:55:26.827,1,0,2023-05-12 14:55:26.730
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-12 14:49:06.568,7,0,0,0:0:35,0,ou,2023-05-12 14:49:06.568,7,0,2023-05-12 14:55:26.998
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-12 14:49:06.627,7,0,0,0:0:35,0,ou,2023-05-12 14:49:06.627,7,0,2023-05-12 14:55:27.248
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-12 14:43:05.469,13,0,0,0:1:5,0,ou,2023-05-12 14:43:05.469,13,0,2023-05-12 14:55:27.392
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-12 14:43:05.571,13,0,0,0:1:5,0,ou,2023-05-12 14:43:05.571,13,0,2023-05-12 14:55:27.538
ARC_SMO GTSGBDO|OCSSMS,0,ou,2023-05-12 14:43:05.683,13,0,0,0:1:5,0,ou,2023-05-12 14:43:05.683,13,0,2023-05-12 14:55:27.780
GTEVCTR GTARC|OCTRA,0,ou,2023-05-12 14:42:08.628,14,0,0,0:1:10,0,ou,2023-05-12 14:42:08.628,14,0,2023-05-12 14:55:28.074
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-12 14:42:08.677,14,0,0,0:1:10,0,ou,2023-05-12 14:42:08.677,14,0,2023-05-12 14:55:28.334
ARC_GFT GTARC|OGFT,0,ou,2023-05-12 14:26:07.474,30,0,0,0:2:30,0,ou,2023-05-12 14:26:07.474,30,0,2023-05-12 14:55:28.570
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-12 14:26:07.530,30,0,0,0:2:30,0,ou,2023-05-12 14:26:07.530,30,0,2023-05-12 14:55:28.799
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-12 14:26:07.691,30,0,0,0:2:30,0,ou,2023-05-12 14:26:07.691,30,0,2023-05-12 14:55:29.086
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-12 14:26:07.742,30,0,0,0:2:30,0,ou,2023-05-12 14:26:07.742,30,0,2023-05-12 14:55:29.342
ARC_LOA GTARC|OCSL,0,ou,2023-05-12 14:16:10.930,40,0,0,0:3:20,0,ou,2023-05-12 14:16:10.930,40,0,2023-05-12 14:55:29.574
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-12 14:16:10.982,40,0,0,0:3:20,0,ou,2023-05-12 14:16:10.982,40,0,2023-05-12 14:55:29.793
GTEVC GTARC|OCEVC,0,ou,2023-05-12 13:57:05.389,59,0,0,0:4:55,0,ou,2023-05-12 13:57:05.389,59,0,2023-05-12 14:55:29.925
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-12 13:17:04.642,99,0,0,1:2:15,0,ou,2023-05-12 13:17:04.642,99,0,2023-05-12 14:55:30.057
ARC_REC GTARC|OREC,0,ou,2023-05-12 12:47:05.571,129,0,0,1:4:45,0,ou,2023-05-12 12:47:05.571,129,0,2023-05-12 14:55:30.187
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-12 10:27:05.408,269,0,0,3:4:25,0,ou,2023-05-12 10:27:05.408,269,0,2023-05-12 14:55:30.316
ARC_VOU GTARC|OVOU,0,ou,2023-05-12 10:26:06.722,270,0,0,3:4:30,0,ou,2023-05-12 10:26:06.722,270,0,2023-05-12 14:55:30.557
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-12 10:26:06.776,270,0,0,3:4:30,0,ou,2023-05-12 10:26:06.776,270,0,2023-05-12 14:55:30.863
