label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_MON GTARC|OMON,0,in,2023-05-12 16:06:03.213,1,0,0,00:00:00,0,in,2023-05-12 16:06:03.372,1,0,2023-05-12 16:06:03.232
ARC_SMO GTARC|OSMS,0,in,2023-05-12 16:06:04.373,1,0,0,00:00:00,0,in,2023-05-12 16:06:04.454,1,0,2023-05-12 16:06:04.380
ARC_SMO GTSGBDO|OCSSMS,0,in,2023-05-12 16:06:05.489,1,0,0,00:00:00,0,in,2023-05-12 16:06:05.606,1,0,2023-05-12 16:06:05.503
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 00:08:01.984,959,0,0,13:1:55,0,eq,2023-05-12 00:08:01.984,959,0,2023-05-12 16:06:06.072
GTEVCTR GTARC|OCTRA,0,in,2023-05-12 16:06:06.487,1,0,0,00:00:00,0,in,2023-05-12 16:06:06.514,1,0,2023-05-12 16:06:06.489
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 00:08:02.207,959,0,0,13:1:55,0,eq,2023-05-12 00:08:02.207,959,0,2023-05-12 16:06:06.798
GTOCSMO GTSGBDO|CBPMON,0,in,2023-05-12 16:06:07.082,1,0,0,00:00:00,0,in,2023-05-12 16:06:07.110,1,0,2023-05-12 16:06:07.085
GTOCSMO GTSGBDO|CBPMON5,0,in,2023-05-12 16:06:07.339,1,0,0,00:00:00,0,in,2023-05-12 16:06:07.366,1,0,2023-05-12 16:06:07.341
TOTAL,0,eq,2023-05-10 20:22:09.710,2625,0,0,36:2:45,0,eq,2023-05-10 20:22:09.710,2625,0,2023-05-12 16:06:07.619
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-12 16:06:08.789,1,0,0,00:00:00,0,ou,2023-05-12 16:06:08.812,1,0,2023-05-12 16:06:08.792
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-12 16:06:08.846,1,0,0,00:00:00,0,ou,2023-05-12 16:06:08.867,1,0,2023-05-12 16:06:08.849
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-12 16:06:08.901,1,0,0,00:00:00,0,ou,2023-05-12 16:06:08.922,1,0,2023-05-12 16:06:08.904
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-12 16:06:08.953,1,0,0,00:00:00,0,ou,2023-05-12 16:06:08.976,1,0,2023-05-12 16:06:08.956
GTEVC GTARC|OCEVC,0,ou,2023-05-12 15:57:04.515,10,0,0,0:0:50,0,ou,2023-05-12 15:57:04.515,10,0,2023-05-12 16:06:09.021
ARC_MGR GTARC|OMGR,0,ou,2023-05-12 15:49:03.820,18,0,0,0:1:30,0,ou,2023-05-12 15:49:03.820,18,0,2023-05-12 16:06:09.082
ARC_DAT GTARC|ODATA,0,ou,2023-05-12 15:43:04.158,24,0,0,0:2:0,0,ou,2023-05-12 15:43:04.158,24,0,2023-05-12 16:06:09.143
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-12 15:43:04.218,24,0,0,0:2:0,0,ou,2023-05-12 15:43:04.218,24,0,2023-05-12 16:06:09.204
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-12 15:43:04.333,24,0,0,0:2:0,0,ou,2023-05-12 15:43:04.333,24,0,2023-05-12 16:06:09.263
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-12 15:37:04.763,30,0,0,0:2:30,0,ou,2023-05-12 15:37:04.763,30,0,2023-05-12 16:06:09.323
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-12 15:32:03.721,35,0,0,0:2:55,0,ou,2023-05-12 15:32:03.721,35,0,2023-05-12 16:06:09.383
ARC_REC GTARC|OREC,0,ou,2023-05-12 15:17:03.670,50,0,0,0:4:10,0,ou,2023-05-12 15:17:03.670,50,0,2023-05-12 16:06:09.443
ARC_GFT GTARC|OGFT,0,ou,2023-05-12 14:26:06.138,101,0,0,1:2:25,0,ou,2023-05-12 14:26:06.138,101,0,2023-05-12 16:06:09.503
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-12 14:26:06.198,101,0,0,1:2:25,0,ou,2023-05-12 14:26:06.198,101,0,2023-05-12 16:06:09.556
ARC_LOA GTARC|OCSL,0,ou,2023-05-12 14:16:07.478,111,0,0,1:3:15,0,ou,2023-05-12 14:16:07.478,111,0,2023-05-12 16:06:09.599
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-12 14:16:07.590,111,0,0,1:3:15,0,ou,2023-05-12 14:16:07.590,111,0,2023-05-12 16:06:09.640
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-12 13:17:03.375,170,0,0,2:2:10,0,ou,2023-05-12 13:17:03.375,170,0,2023-05-12 16:06:09.684
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-12 10:27:04.134,340,0,0,4:4:20,0,ou,2023-05-12 10:27:04.134,340,0,2023-05-12 16:06:09.724
ARC_VOU GTARC|OVOU,0,ou,2023-05-12 10:26:05.496,341,0,0,4:4:25,0,ou,2023-05-12 10:26:05.496,341,0,2023-05-12 16:06:09.766
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-12 10:26:05.560,341,0,0,4:4:25,0,ou,2023-05-12 10:26:05.560,341,0,2023-05-12 16:06:09.806
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-12 07:36:07.347,511,0,0,7:0:35,0,ou,2023-05-12 07:36:07.347,511,0,2023-05-12 16:06:09.844
GTEVCTR GTSGBDO|CBPEVCT,0,ou,2023-05-11 23:19:04.045,1008,0,0,14:0:0,0,ou,2023-05-11 23:19:04.045,1008,0,2023-05-12 16:06:09.899
