label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,13,up,2023-05-16 10:23:01.853,1,8,8,00:00:00,344,up,2023-05-16 10:23:01.873,1,8,2023-05-16 10:23:01.856
GTEVCTR GTSGBDO|CEVCTMA,41,eq,2023-05-16 10:19:01.661,5,0,0,0:0:25,154,eq,2023-05-16 10:19:01.661,5,0,2023-05-16 10:23:02.091
TOTAL,54,up,2023-05-16 10:23:02.303,1,8,8,00:00:00,751,up,2023-05-16 10:23:02.325,1,8,2023-05-16 10:23:02.306
GTOCS5D GTSGBDO|CBP52DA,7,ou,2023-05-16 10:19:02.135,5,0,0,0:0:25,75,ou,2023-05-16 10:19:02.135,5,0,2023-05-16 10:23:02.519
GTOCSMO GTSGBDO|CBPMON,1,ou,2023-05-16 10:19:02.192,5,0,0,0:0:25,22,ou,2023-05-16 10:19:02.192,5,0,2023-05-16 10:23:02.576
GTOCSMO GTSGBDO|CBPMON5,1,ou,2023-05-16 10:19:02.248,5,0,0,0:0:25,29,ou,2023-05-16 10:19:02.248,5,0,2023-05-16 10:23:02.636
ARC_REC GTARC|OREC,2,ou,2023-05-16 10:17:10.490,7,0,0,0:0:35,12,ou,2023-05-16 10:17:10.490,7,0,2023-05-16 10:23:02.692
GTOCS5R GTSGBDO|CBPRE52,4,ou,2023-05-16 10:17:11.121,7,0,0,0:0:35,28,ou,2023-05-16 10:17:11.121,7,0,2023-05-16 10:23:02.752
GTOCS5V GTSGBDO|CBPVO52,4,ou,2023-05-16 10:06:04.103,18,0,0,0:1:30,11,ou,2023-05-16 10:06:04.103,18,0,2023-05-16 10:23:02.813
GTEVCTR GTARC|OCTRA,1,ou,2023-05-16 09:58:02.495,26,0,0,0:2:10,6,ou,2023-05-16 09:58:02.495,26,0,2023-05-16 10:23:02.876
GTOCS5M GTSGBDO|CBPMG52,6,ou,2023-05-16 09:49:04.557,35,0,0,0:2:55,13,ou,2023-05-16 09:49:04.557,35,0,2023-05-16 10:23:02.928
GTEVC GTARC|OCEVC,2,ou,2023-05-16 09:43:02.708,41,0,0,0:3:25,9,ou,2023-05-16 09:43:02.708,41,0,2023-05-16 10:23:02.978
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-16 09:43:02.773,41,0,0,0:3:25,6,ou,2023-05-16 09:43:02.773,41,0,2023-05-16 10:23:03.034
GTOCS5L GTSGBDO|CBPLOAN,9,ou,2023-05-16 09:31:02.007,53,0,0,0:4:25,14,ou,2023-05-16 09:31:02.007,53,0,2023-05-16 10:23:03.088
ARC_GFT GTARC|OGFT,9,ou,2023-05-16 09:27:02.777,57,0,0,0:4:45,24,ou,2023-05-16 09:27:02.777,57,0,2023-05-16 10:23:03.140
ARC_GFT GTSGBDO|OCSGFT,9,ou,2023-05-16 09:27:02.833,57,0,0,0:4:45,19,ou,2023-05-16 09:27:02.833,57,0,2023-05-16 10:23:03.202
ARC_LOA GTARC|OCSL,10,ou,2023-05-16 09:27:02.902,57,0,0,0:4:45,14,ou,2023-05-16 09:27:02.902,57,0,2023-05-16 10:23:03.255
ARC_LOA GTSGBDO|OCSLOAN,9,ou,2023-05-16 09:27:02.957,57,0,0,0:4:45,11,ou,2023-05-16 09:27:02.957,57,0,2023-05-16 10:23:03.303
ARC_REC GTSGBDO|OCSREC,5,ou,2023-05-16 09:27:03.064,57,0,0,0:4:45,5,ou,2023-05-16 09:27:03.064,57,0,2023-05-16 10:23:03.351
ARC_VOU GTARC|OVOU,3,ou,2023-05-16 09:27:03.115,57,0,0,0:4:45,3,ou,2023-05-16 09:27:03.115,57,0,2023-05-16 10:23:03.399
ARC_VOU GTSGBDO|OCSVOU,3,ou,2023-05-16 09:27:03.166,57,0,0,0:4:45,3,ou,2023-05-16 09:27:03.166,57,0,2023-05-16 10:23:03.444
GTOCS5S GTSGBDO|CBPSM52,1,ou,2023-05-16 09:27:03.383,57,0,0,0:4:45,5,ou,2023-05-16 09:27:03.383,57,0,2023-05-16 10:23:03.488
ARC_MGR GTARC|OMGR,1,ou,2023-05-16 09:19:02.954,65,0,0,0:5:25,2,ou,2023-05-16 09:19:02.954,65,0,2023-05-16 10:23:03.530
ARC_MGR GTSGBDO|OCSMGR,1,ou,2023-05-16 09:19:03.010,65,0,0,0:5:25,1,ou,2023-05-16 09:19:03.010,65,0,2023-05-16 10:23:03.571
ARC_MON GTARC|OMON,1,ou,2023-05-16 09:19:03.065,65,0,0,0:5:25,1,ou,2023-05-16 09:19:03.065,65,0,2023-05-16 10:23:03.614
ARC_MON GTSGBDO|OCSMON,1,ou,2023-05-16 09:19:03.118,65,0,0,0:5:25,1,ou,2023-05-16 09:19:03.118,65,0,2023-05-16 10:23:03.655
ARC_DAT GTARC|ODATA,8,ou,2023-05-16 08:26:09.276,118,0,0,1:3:50,8,ou,2023-05-16 08:26:09.276,118,0,2023-05-16 10:23:03.694
