label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PRD_HC3 GTICT|HC34NAT,27,up,2023-05-05 14:24:01.682,1,1,1,00:00:00,253,up,2023-05-05 14:24:01.703,1,1,2023-05-05 14:24:01.684
TOTAL,27,up,2023-05-05 14:24:02.043,1,1,1,00:00:00,8864,up,2023-05-05 14:24:02.065,1,1,2023-05-05 14:24:02.046
PGWCDRM GTSGBDO|LTEPGMA,1,ou,2023-05-05 14:19:02.707,6,0,0,0:0:30,1028,ou,2023-05-05 14:19:02.707,6,0,2023-05-05 14:24:02.349
PGWCDRM GTSGBDO|LTEPGQ4,2,ou,2023-05-05 14:19:02.769,6,0,0,0:0:30,977,ou,2023-05-05 14:19:02.769,6,0,2023-05-05 14:24:02.414
GTSCDR GTMACH|NEXGT,1,ou,2023-05-05 14:18:03.986,7,0,0,0:0:35,467,ou,2023-05-05 14:18:03.986,7,0,2023-05-05 14:24:02.484
GTSCDR GTSGBDO|LTESCMA,1,ou,2023-05-05 14:18:04.072,7,0,0,0:0:35,293,ou,2023-05-05 14:18:04.072,7,0,2023-05-05 14:24:02.554
GTSCDR GTSGBDO|LTSC3GR,1,ou,2023-05-05 14:18:04.170,7,0,0,0:0:35,257,ou,2023-05-05 14:18:04.170,7,0,2023-05-05 14:24:02.623
PGWCDRM GTARC|LTEM,6,ou,2023-05-05 14:18:04.271,7,0,0,0:0:35,2288,ou,2023-05-05 14:18:04.271,7,0,2023-05-05 14:24:02.679
PGWCDRM GTARC|PGWCD,11,ou,2023-05-05 14:18:04.334,7,0,0,0:0:35,2639,ou,2023-05-05 14:18:04.334,7,0,2023-05-05 14:24:02.756
SGWCDRM GTARC|SGWCDR,6,ou,2023-05-05 14:18:04.432,7,0,0,0:0:35,1642,ou,2023-05-05 14:18:04.432,7,0,2023-05-05 14:24:02.817
SGWCDRM GTMACH|NEXGT,1,ou,2023-05-05 14:18:04.547,7,0,0,0:0:35,838,ou,2023-05-05 14:18:04.547,7,0,2023-05-05 14:24:02.914
GTSCDR GTARC|SCDR,1,ou,2023-05-05 14:16:05.306,9,0,0,0:0:45,653,ou,2023-05-05 14:16:05.306,9,0,2023-05-05 14:24:02.963
SGWCDRM GTSGBDO|LTES4GR,1,ou,2023-05-05 14:15:03.995,10,0,0,0:0:50,525,ou,2023-05-05 14:15:03.995,10,0,2023-05-05 14:24:03.016
SGWCDRM GTSGBDO|LTESGMA,1,ou,2023-05-05 14:15:04.119,10,0,0,0:0:50,532,ou,2023-05-05 14:15:04.119,10,0,2023-05-05 14:24:03.088
PRD_HC3 GTARC|AHC34,1,ou,2023-05-05 14:06:07.615,19,0,0,0:1:35,41,ou,2023-05-05 14:06:07.615,19,0,2023-05-05 14:24:03.139
PRD2_TP GTARC|TAP0311,2,ou,2023-05-05 13:47:07.644,38,0,0,0:3:10,100,ou,2023-05-05 13:47:07.644,38,0,2023-05-05 14:24:03.210
PRD_HC3 GTARIS|AHC34,1,ou,2023-05-05 13:35:05.734,50,0,0,0:4:10,27,ou,2023-05-05 13:35:05.734,50,0,2023-05-05 14:24:03.258
PRD_HC3 GTICT|HC34INT,1,ou,2023-05-05 13:35:05.855,50,0,0,0:4:10,12,ou,2023-05-05 13:35:05.855,50,0,2023-05-05 14:24:03.316
PRD_HC3 GTSGBDO|HC34MA,1,ou,2023-05-05 13:35:05.937,50,0,0,0:4:10,21,ou,2023-05-05 13:35:05.937,50,0,2023-05-05 14:24:03.376
PRD_HC3 GTSGBDO|HC3EMRQ,1,ou,2023-05-05 13:35:06.025,50,0,0,0:4:10,17,ou,2023-05-05 13:35:06.025,50,0,2023-05-05 14:24:03.416
PRD2_TP GTARIS|TAP0312,3,ou,2023-05-05 13:31:03.147,54,0,0,0:4:30,78,ou,2023-05-05 13:31:03.147,54,0,2023-05-05 14:24:03.458
GTMCSLM GTARCEP|OUCASH,1,ou,2023-05-05 06:06:02.080,499,0,0,6:5:35,1,ou,2023-05-05 06:06:02.080,499,0,2023-05-05 14:24:03.507
