label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,102,eq,2023-05-12 12:49:02.200,2,0,0,0:0:10,1769,eq,2023-05-12 12:49:02.200,2,0,2023-05-12 12:50:01.977
GTEVCTR GTSGBDO|CEVCTMA,237,eq,2023-05-12 12:49:02.412,2,0,0,0:0:10,1394,eq,2023-05-12 12:49:02.412,2,0,2023-05-12 12:50:02.180
TOTAL,339,eq,2023-05-12 12:50:02.701,1,0,0,00:00:00,12419,eq,2023-05-12 12:50:02.747,1,0,2023-05-12 12:50:02.708
ARC_MGR GTARC|OMGR,4,ou,2023-05-12 12:49:02.843,2,0,0,0:0:10,2287,ou,2023-05-12 12:49:02.843,2,0,2023-05-12 12:50:03.146
ARC_MGR GTSGBDO|OCSMGR,2,ou,2023-05-12 12:49:02.897,2,0,0,0:0:10,592,ou,2023-05-12 12:49:02.897,2,0,2023-05-12 12:50:03.208
GTOCSMO GTSGBDO|CBPMON,6,ou,2023-05-12 12:49:02.951,2,0,0,0:0:10,800,ou,2023-05-12 12:49:02.951,2,0,2023-05-12 12:50:03.263
GTOCSMO GTSGBDO|CBPMON5,6,ou,2023-05-12 12:49:03.005,2,0,0,0:0:10,934,ou,2023-05-12 12:49:03.005,2,0,2023-05-12 12:50:03.315
ARC_REC GTARC|OREC,4,ou,2023-05-12 12:47:02.735,4,0,0,0:0:20,373,ou,2023-05-12 12:47:02.735,4,0,2023-05-12 12:50:03.368
GTOCS5D GTSGBDO|CBP52DA,10,ou,2023-05-12 12:47:02.799,4,0,0,0:0:20,1120,ou,2023-05-12 12:47:02.799,4,0,2023-05-12 12:50:03.420
GTOCS5L GTSGBDO|CBPLOAN,7,ou,2023-05-12 12:46:05.691,5,0,0,0:0:25,321,ou,2023-05-12 12:46:05.691,5,0,2023-05-12 12:50:03.477
GTOCS5M GTSGBDO|CBPMG52,6,ou,2023-05-12 12:46:05.750,5,0,0,0:0:25,593,ou,2023-05-12 12:46:05.750,5,0,2023-05-12 12:50:03.571
