label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTARC|SCDR,0,in,2023-05-16 09:26:02.406,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.440,1,0,2023-05-16 09:26:02.409
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 09:11:26.590,16,0,0,0:1:20,,eq,2023-05-16 09:11:26.590,16,0,2023-05-16 09:26:02.649
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 09:09:12.045,18,0,0,0:1:30,,eq,2023-05-16 09:09:12.045,18,0,2023-05-16 09:26:03.012
PGWCDRM GTSGBDO|LTEPGMA,0,eq,2023-05-16 09:25:02.970,2,0,0,0:0:10,0,eq,2023-05-16 09:25:02.970,2,0,2023-05-16 09:26:03.223
PRD2_TP GTARC|TAP0311,0,in,2023-05-16 09:26:03.441,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.477,1,0,2023-05-16 09:26:03.444
PRD2_TP GTARIS|TAP0312,0,in,2023-05-16 09:26:03.684,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.722,1,0,2023-05-16 09:26:03.687
PRD_HC3 GTARC|AHC34,0,in,2023-05-16 09:26:03.955,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.995,1,0,2023-05-16 09:26:03.959
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 09:12:18.278,15,0,0,0:1:15,0,eq,2023-05-16 09:12:18.278,15,0,2023-05-16 09:26:04.218
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 09:12:19.647,15,0,0,0:1:15,0,eq,2023-05-16 09:12:19.647,15,0,2023-05-16 09:26:04.430
TOTAL,0,eq,2023-05-16 09:09:07.632,18,0,0,0:1:30,0,eq,2023-05-16 09:09:07.632,18,0,2023-05-16 09:26:04.651
PGWCDRM GTSGBDO|LTEPGQ4,0,ou,2023-05-16 09:26:05.383,1,0,0,00:00:00,0,ou,2023-05-16 09:26:05.406,1,0,2023-05-16 09:26:05.386
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-16 09:26:05.437,1,0,0,00:00:00,0,ou,2023-05-16 09:26:05.462,1,0,2023-05-16 09:26:05.440
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-16 09:25:05.238,2,0,0,0:0:10,0,ou,2023-05-16 09:25:05.238,2,0,2023-05-16 09:26:05.491
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 09:24:04.443,3,0,0,0:0:15,0,ou,2023-05-16 09:24:04.443,3,0,2023-05-16 09:26:05.540
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 09:23:04.264,4,0,0,0:0:20,0,ou,2023-05-16 09:23:04.264,4,0,2023-05-16 09:26:05.589
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 09:19:34.657,8,0,0,0:0:40,0,ou,2023-05-16 09:19:34.657,8,0,2023-05-16 09:26:05.637
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 09:18:05.917,9,0,0,0:0:45,0,ou,2023-05-16 09:18:05.917,9,0,2023-05-16 09:26:05.686
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-16 09:16:31.034,11,0,0,0:0:55,0,ou,2023-05-16 09:16:31.034,11,0,2023-05-16 09:26:05.734
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 09:16:31.080,11,0,0,0:0:55,0,ou,2023-05-16 09:16:31.080,11,0,2023-05-16 09:26:05.779
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 09:16:31.189,11,0,0,0:0:55,0,ou,2023-05-16 09:16:31.189,11,0,2023-05-16 09:26:05.825
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-16 09:16:31.392,11,0,0,0:0:55,0,ou,2023-05-16 09:16:31.392,11,0,2023-05-16 09:26:05.869
