label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated
GTEVC GTARC|OCEVC,0,in,2023-05-01 12:23:02.811,1,0,0,00:00:00,0
ARC_DAT GTARC|ODATA,0,eq,2023-05-01 09:56:02.007,148,0,0,2:0:20,in,2023-05-01 12:23:04.189,1,0,2023-05-01 12:23:03.009,0,eq,2023-05-01 09:56:02.007,148,0,2023-05-01 12:23:04.191
GTEVC GTSGBDO|CBEVCMA,0,in,2023-05-01 12:23:09.098,1,0,0,00:00:00,0,in,2023-05-01 12:23:09.126,1,0,2023-05-01 12:23:09.100
ARC_GFT GTARC|OGFT,0,eq,2023-05-01 09:57:02.556,147,0,0,2:0:15,0,eq,2023-05-01 09:57:02.556,147,0,2023-05-01 12:23:09.896
GTEVCTR GTARC|OCTRA,0,in,2023-05-01 12:23:10.034,1,0,0,00:00:00,0,in,2023-05-01 12:23:10.064,1,0,2023-05-01 12:23:10.037
ARC_GFT GTSGBDO|OCSGFT,0,eq,2023-05-01 12:22:18.455,2,0,0,0:0:10,0,eq,2023-05-01 12:22:18.455,2,0,2023-05-01 12:23:10.722
GTEVCTR GTSGBDO|CEVCTMA,0,in,2023-05-01 12:23:10.843,1,0,0,00:00:00,0,in,2023-05-01 12:23:10.940,1,0,2023-05-01 12:23:10.916
ARC_LOA GTARC|OCSL,0
TOTAL,0,eq,2023-05-01 09:57:02.769,147,0,0,2:0:15,0,in,2023-05-01 12:23:12.258,1,0,0,00:00:00,0,eq,2023-05-01 09:57:02.769,147,0,2023-05-01 12:23:12.253,in,2023-05-01 12:23:12.716,1,0,2023-05-01 12:23:12.261
ARC_MGR GTARC|OMGR,0,eq,2023-05-01 09:56:06.158,148,0,0,2:0:20,0,eq,2023-05-01 09:56:06.158,148,0,2023-05-01 12:23:13.872
ARC_MON GTARC|OMON,0,eq,2023-05-01 09:56:06.938,148,0,0,2:0:20,0,eq,2023-05-01 09:56:06.938,148,0,2023-05-01 12:23:14.790
ARC_REC GTARC|OREC,0,ou,2023-05-01 12:23:14.821,1,0,0,00:00:00,0,ou,2023-05-01 12:23:14.841,1,0,2023-05-01 12:23:14.823
ARC_SMO GTARC|OSMS,0,ou,2023-05-01 12:23:14.928,1,0,0,00:00:00
ARC_REC GTARC|OREC,0,0,in,2023-05-01 12:23:14.941,1,0,0,00:00:00,0,ou,2023-05-01 12:23:14.951,1,0,2023-05-01 12:23:14.931,in,2023-05-01 12:23:15.041,1,0,2023-05-01 12:23:14.944
ARC_VOU GTARC|OVOU,0,ou,2023-05-01 12:23:15.054,1,0,0,00:00:00,0,ou,2023-05-01 12:23:15.074,1,0,2023-05-01 12:23:15.056
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-01 12:23:15.202,1,0,0,00:00:00,0,ou,2023-05-01 12:23:15.223,1,0,2023-05-01 12:23:15.205
ARC_SMO GTARC|OSMS,0,in,2023-05-01 12:23:15.272,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.294,1,0,2023-05-01 12:23:15.274
ARC_VOU GTARC|OVOU,0,in,2023-05-01 12:23:15.457,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.476,1,0,2023-05-01 12:23:15.460
ARC_VOU GTSGBDO|OCSVOU,0,in,2023-05-01 12:23:15.576,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.594,1,0,2023-05-01 12:23:15.579
GTEVC GTARC|OCEVC,0,in,2023-05-01 12:23:15.695,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.713,1,0,2023-05-01 12:23:15.697
GTEVC GTSGBDO|CBEVCMA,0,in,2023-05-01 12:23:15.812,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.831,1,0,2023-05-01 12:23:15.815
GTEVCTR GTARC|OCTRA,0,in,2023-05-01 12:23:15.930,1,0,0,00:00:00,0,in,2023-05-01 12:23:15.948,1,0,2023-05-01 12:23:15.932
GTEVCTR GTSGBDO|CEVCTMA,0,in,2023-05-01 12:23:16.047,1,0,0,00:00:00,0,in,2023-05-01 12:23:16.066,1,0,2023-05-01 12:23:16.050
GTOCS5D GTSGBDO|CBP52DA,0,in,2023-05-01 12:23:16.166,1,0,0,00:00:00,0,in,2023-05-01 12:23:16.184,1,0,2023-05-01 12:23:16.169
GTOCS5M GTSGBDO|CBPMG52,0,in,2023-05-01 12:23:17.757,1,0,0,00:00:00,0,in,2023-05-01 12:23:17.775,1,0,2023-05-01 12:23:17.760
GTOCS5S GTSGBDO|CBPSM52,0,in,2023-05-01 12:23:18.509,1,0,0,00:00:00,0,in,2023-05-01 12:23:18.527,1,0,2023-05-01 12:23:18.512
TOTAL,0,in,2023-05-01 12:23:18.628,1,0,0,00:00:00,0,in,2023-05-01 12:23:18.646,1,0,2023-05-01 12:23:18.631
