label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-05-13 17:41:02.305,1,0,0,00:00:00,0,eq,2023-05-13 17:41:02.330,1,0,2023-05-13 17:41:02.308
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-12 14:58:03.111,1604,0,0,22:1:40,0,eq,2023-05-12 14:58:03.111,1604,0,2023-05-13 17:41:02.546
MSCPROD GTICT|HMSCINT,0,in,2023-05-13 17:41:02.798,1,0,0,00:00:00,0,in,2023-05-13 17:41:02.828,1,0,2023-05-13 17:41:02.801
MSCPROD GTICT|HMSCNAT,0,in,2023-05-13 17:41:03.047,1,0,0,00:00:00,0,in,2023-05-13 17:41:03.076,1,0,2023-05-13 17:41:03.050
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-13 14:42:04.351,180,0,0,2:3:0,0,eq,2023-05-13 14:42:04.351,180,0,2023-05-13 17:41:03.281
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-13 17:41:03.505,1,0,0,00:00:00,0,eq,2023-05-13 17:41:03.531,1,0,2023-05-13 17:41:03.507
TOTAL,0,eq,2023-05-10 20:35:54.222,4147,0,0,57:3:35,0,eq,2023-05-10 20:35:54.222,4147,0,2023-05-13 17:41:03.748
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-13 17:41:05.273,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.295,1,0,2023-05-13 17:41:05.276
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-13 17:41:05.327,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.349,1,0,2023-05-13 17:41:05.330
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-13 17:41:05.379,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.402,1,0,2023-05-13 17:41:05.382
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-13 17:41:05.433,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.456,1,0,2023-05-13 17:41:05.436
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-13 17:41:05.485,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.507,1,0,2023-05-13 17:41:05.488
MSCPROD GTARCEP|HMSC,0,ou,2023-05-13 17:41:05.538,1,0,0,00:00:00,0,ou,2023-05-13 17:41:05.561,1,0,2023-05-13 17:41:05.541
MSCPROD GTARIS|HMSC,0,ou,2023-05-13 17:26:06.085,16,0,0,0:1:20,0,ou,2023-05-13 17:26:06.085,16,0,2023-05-13 17:41:05.591
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-13 17:26:06.138,16,0,0,0:1:20,0,ou,2023-05-13 17:26:06.138,16,0,2023-05-13 17:41:05.635
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-13 17:26:06.192,16,0,0,0:1:20,0,ou,2023-05-13 17:26:06.192,16,0,2023-05-13 17:41:05.678
GTSBC2 GTARC|SBC,0,ou,2023-05-13 17:24:04.589,18,0,0,0:1:30,0,ou,2023-05-13 17:24:04.589,18,0,2023-05-13 17:41:05.720
ARC_SMS GTARC|HSMSC,0,ou,2023-05-13 17:21:05.404,21,0,0,0:1:45,0,ou,2023-05-13 17:21:05.404,21,0,2023-05-13 17:41:05.761
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-13 16:01:05.123,101,0,0,1:2:25,0,ou,2023-05-13 16:01:05.123,101,0,2023-05-13 17:41:05.803
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-13 15:17:06.458,145,0,0,2:0:5,0,ou,2023-05-13 15:17:06.458,145,0,2023-05-13 17:41:05.843
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-13 15:11:06.597,151,0,0,2:0:35,0,ou,2023-05-13 15:11:06.597,151,0,2023-05-13 17:41:05.882
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-11 16:42:15.891,2940,0,0,40:5:0,0,ou,2023-05-11 16:42:15.891,2940,0,2023-05-13 17:41:05.921
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-11 16:01:06.995,2981,0,0,41:2:25,0,ou,2023-05-11 16:01:06.995,2981,0,2023-05-13 17:41:05.958
