label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:14:03.149,13,0,0,0:1:5,0,eq,2023-05-16 09:14:03.149,13,0,2023-05-16 09:26:02.536
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-16 09:14:03.367,13,0,0,0:1:5,0,eq,2023-05-16 09:14:03.367,13,0,2023-05-16 09:26:02.746
ARCSMS2 GTARCEP|HSMSC2,0,in,2023-05-16 09:26:02.965,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.995,1,0,2023-05-16 09:26:02.968
ARCSMS2 GTARCEP|OSMSC2,0,in,2023-05-16 09:26:03.235,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.266,1,0,2023-05-16 09:26:03.238
GTSBC2 GTARC|SBC,0,eq,2023-05-16 09:23:03.411,4,0,0,0:0:20,0,eq,2023-05-16 09:23:03.411,4,0,2023-05-16 09:26:03.472
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-16 09:26:03.677,1,0,0,00:00:00,0,eq,2023-05-16 09:26:03.700,1,0,2023-05-16 09:26:03.680
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:14:03.966,13,0,0,0:1:5,0,eq,2023-05-16 09:14:03.966,13,0,2023-05-16 09:26:03.887
MSCPROD GTARCEP|HMSC,0,eq,2023-05-16 09:26:04.086,1,0,0,00:00:00,0,eq,2023-05-16 09:26:04.110,1,0,2023-05-16 09:26:04.089
MSCPROD GTARIS|HMSC,0,in,2023-05-16 09:26:04.324,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.357,1,0,2023-05-16 09:26:04.327
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.370,13,0,0,0:1:5,0,eq,2023-05-16 09:14:04.370,13,0,2023-05-16 09:26:04.569
MSCPROD GTICT|HMSCINT,0,in,2023-05-16 09:26:04.803,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.834,1,0,2023-05-16 09:26:04.806
MSCPROD GTICT|HMSCNAT,0,in,2023-05-16 09:26:05.057,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.087,1,0,2023-05-16 09:26:05.060
MSCPROD GTMACH|GTNEXGN,0,in,2023-05-16 09:26:05.284,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.315,1,0,2023-05-16 09:26:05.287
MSCPROD GTSGBDO|MSCMAS,0,in,2023-05-16 09:26:05.531,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.561,1,0,2023-05-16 09:26:05.534
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-05-16 09:15:14.869,12,0,0,0:1:0,0,eq,2023-05-16 09:15:14.869,12,0,2023-05-16 09:26:05.758
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-16 09:22:05.413,5,0,0,0:0:25,0,eq,2023-05-16 09:22:05.413,5,0,2023-05-16 09:26:05.963
TOTAL,0,eq,2023-05-16 09:14:05.585,13,0,0,0:1:5,0,eq,2023-05-16 09:14:05.585,13,0,2023-05-16 09:26:06.160
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 09:25:07.056,2,0,0,0:0:10,0,ou,2023-05-16 09:25:07.056,2,0,2023-05-16 09:26:06.464
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 09:17:05.941,10,0,0,0:0:50,0,ou,2023-05-16 09:17:05.941,10,0,2023-05-16 09:26:06.508
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 09:17:05.991,10,0,0,0:0:50,0,ou,2023-05-16 09:17:05.991,10,0,2023-05-16 09:26:06.551
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 09:16:06.872,11,0,0,0:0:55,0,ou,2023-05-16 09:16:06.872,11,0,2023-05-16 09:26:06.593
