label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-09 15:02:03.417,57,0,0,0:4:45,0,eq,2023-05-09 15:02:03.417,57,0,2023-05-09 15:58:02.715
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-09 15:12:04.402,47,0,0,0:3:55,0,eq,2023-05-09 15:12:04.402,47,0,2023-05-09 15:58:02.935
MSCPROD GTARC|HMSC,0,eq,2023-05-09 15:56:04.373,3,0,0,0:0:15,0,eq,2023-05-09 15:56:04.373,3,0,2023-05-09 15:58:03.151
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-09 13:29:03.475,150,0,0,2:0:30,0,eq,2023-05-09 13:29:03.475,150,0,2023-05-09 15:58:03.365
MSCPROD GTICT|HMSCINT,0,eq,2023-05-09 15:52:04.314,7,0,0,0:0:35,0,eq,2023-05-09 15:52:04.314,7,0,2023-05-09 15:58:03.573
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-09 15:52:04.543,7,0,0,0:0:35,0,eq,2023-05-09 15:52:04.543,7,0,2023-05-09 15:58:03.786
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-09 15:18:04.872,41,0,0,0:3:25,0,eq,2023-05-09 15:18:04.872,41,0,2023-05-09 15:58:03.994
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-09 15:57:05.267,2,0,0,0:0:10,0,eq,2023-05-09 15:57:05.267,2,0,2023-05-09 15:58:04.207
TOTAL,0,eq,2023-05-09 13:29:07.928,150,0,0,2:0:30,0,eq,2023-05-09 13:29:07.928,150,0,2023-05-09 15:58:04.437
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-09 15:58:05.377,1,0,0,00:00:00,0,ou,2023-05-09 15:58:05.398,1,0,2023-05-09 15:58:05.380
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-09 15:58:05.427,1,0,0,00:00:00,0,ou,2023-05-09 15:58:05.448,1,0,2023-05-09 15:58:05.430
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-09 15:57:06.212,2,0,0,0:0:10,0,ou,2023-05-09 15:57:06.212,2,0,2023-05-09 15:58:05.479
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-09 15:57:06.258,2,0,0,0:0:10,0,ou,2023-05-09 15:57:06.258,2,0,2023-05-09 15:58:05.525
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-09 15:56:06.646,3,0,0,0:0:15,0,ou,2023-05-09 15:56:06.646,3,0,2023-05-09 15:58:05.571
MSCPROD GTARCEP|HMSC,0,ou,2023-05-09 15:56:06.701,3,0,0,0:0:15,0,ou,2023-05-09 15:56:06.701,3,0,2023-05-09 15:58:05.616
GTSBC2 GTARC|SBC,0,ou,2023-05-09 15:53:05.312,6,0,0,0:0:30,0,ou,2023-05-09 15:53:05.312,6,0,2023-05-09 15:58:05.661
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-09 15:45:17.743,14,0,0,0:1:10,0,ou,2023-05-09 15:45:17.743,14,0,2023-05-09 15:58:05.706
MSCPROD GTARIS|HMSC,0,ou,2023-05-09 15:23:14.151,36,0,0,0:3:0,0,ou,2023-05-09 15:23:14.151,36,0,2023-05-09 15:58:05.750
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-09 15:17:07.586,42,0,0,0:3:30,0,ou,2023-05-09 15:17:07.586,42,0,2023-05-09 15:58:05.798
ARC_SMS GTARC|HSMSC,0,ou,2023-05-09 15:16:08.634,43,0,0,0:3:35,0,ou,2023-05-09 15:16:08.634,43,0,2023-05-09 15:58:05.844
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-09 15:16:08.685,43,0,0,0:3:35,0,ou,2023-05-09 15:16:08.685,43,0,2023-05-09 15:58:05.889
