label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,162,eq,2023-05-08 14:33:02.278,6,0,0,0:0:30,2687,eq,2023-05-08 14:33:02.278,6,0,2023-05-08 14:38:01.455
GTEVCTR GTSGBDO|CEVCTMA,308,eq,2023-05-08 14:33:02.508,6,0,0,0:0:30,2060,eq,2023-05-08 14:33:02.508,6,0,2023-05-08 14:38:01.691
TOTAL,470,eq,2023-05-08 14:37:02.984,2,0,0,0:0:10,17433,eq,2023-05-08 14:37:02.984,2,0,2023-05-08 14:38:01.918
GTOCS5V GTSGBDO|CBPVO52,12,ou,2023-05-08 14:36:02.914,3,0,0,0:0:15,572,ou,2023-05-08 14:36:02.914,3,0,2023-05-08 14:38:02.112
GTOCS5R GTSGBDO|CBPRE52,4,ou,2023-05-08 14:32:02.792,7,0,0,0:0:35,265,ou,2023-05-08 14:32:02.792,7,0,2023-05-08 14:38:02.169
GTOCS5D GTSGBDO|CBP52DA,10,ou,2023-05-08 14:27:02.580,12,0,0,0:1:0,1205,ou,2023-05-08 14:27:02.580,12,0,2023-05-08 14:38:02.233
ARC_MGR GTARC|OMGR,1,ou,2023-05-08 14:25:03.085,14,0,0,0:1:10,2848,ou,2023-05-08 14:25:03.085,14,0,2023-05-08 14:38:02.290
ARC_MGR GTSGBDO|OCSMGR,1,ou,2023-05-08 14:25:03.427,14,0,0,0:1:10,1191,ou,2023-05-08 14:25:03.427,14,0,2023-05-08 14:38:02.344
ARC_MON GTARC|OMON,1,ou,2023-05-08 14:25:03.562,14,0,0,0:1:10,960,ou,2023-05-08 14:25:03.562,14,0,2023-05-08 14:38:02.399
ARC_MON GTSGBDO|OCSMON,1,ou,2023-05-08 14:25:03.663,14,0,0,0:1:10,310,ou,2023-05-08 14:25:03.663,14,0,2023-05-08 14:38:02.454
GTOCSMO GTSGBDO|CBPMON,3,ou,2023-05-08 14:25:03.740,14,0,0,0:1:10,1490,ou,2023-05-08 14:25:03.740,14,0,2023-05-08 14:38:02.506
GTOCSMO GTSGBDO|CBPMON5,4,ou,2023-05-08 14:25:03.812,14,0,0,0:1:10,1709,ou,2023-05-08 14:25:03.812,14,0,2023-05-08 14:38:02.555
ARC_SMO GTARC|OSMS,3,ou,2023-05-08 14:19:02.672,20,0,0,0:1:40,609,ou,2023-05-08 14:19:02.672,20,0,2023-05-08 14:38:02.605
ARC_SMO GTSGBDO|OCSSMS,1,ou,2023-05-08 14:19:02.734,20,0,0,0:1:40,178,ou,2023-05-08 14:19:02.734,20,0,2023-05-08 14:38:02.657
ARC_REC GTARC|OREC,4,ou,2023-05-08 14:17:02.817,22,0,0,0:1:50,282,ou,2023-05-08 14:17:02.817,22,0,2023-05-08 14:38:02.705
ARC_DAT GTARC|ODATA,2,ou,2023-05-08 14:13:02.183,26,0,0,0:2:10,771,ou,2023-05-08 14:13:02.183,26,0,2023-05-08 14:38:02.752
ARC_DAT GTSGBDO|OCSDATA,2,ou,2023-05-08 14:13:02.238,26,0,0,0:2:10,238,ou,2023-05-08 14:13:02.238,26,0,2023-05-08 14:38:02.803
