label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,17,up,2023-05-08 16:17:01.402,1,12,12,00:00:00,9769,up,2023-05-08 16:17:01.424,1,12,2023-05-08 16:17:01.404
PGWCDRM GTARC|PGWCD,138,up,2023-05-08 16:16:03.428,2,11,16,0:0:10,11963,up,2023-05-08 16:16:03.428,2,11,2023-05-08 16:17:02.012
PGWCDRM GTSGBDO|LTEPGMA,16,up,2023-05-08 16:17:02.652,1,15,15,00:00:00,2690,up,2023-05-08 16:17:02.677,1,15,2023-05-08 16:17:02.655
PGWCDRM GTSGBDO|LTEPGQ4,16,in,2023-05-08 16:17:03.452,1,0,0,00:00:00,2369,in,2023-05-08 16:17:03.481,1,0,2023-05-08 16:17:03.455
PRD_HC3 GTICT|HC34NAT,4,eq,2023-05-08 16:17:03.940,1,0,0,00:00:00,555,eq,2023-05-08 16:17:03.964,1,0,2023-05-08 16:17:03.943
SGWCDRM GTARC|SGWCDR,7,up,2023-05-08 16:17:04.601,1,1,1,00:00:00,3457,up,2023-05-08 16:17:04.627,1,1,2023-05-08 16:17:04.604
SGWCDRM GTSGBDO|LTES4GR,3,up,2023-05-08 16:17:05.471,1,1,1,00:00:00,1093,up,2023-05-08 16:17:05.495,1,1,2023-05-08 16:17:05.474
TOTAL,201,up,2023-05-08 16:16:08.367,2,54,76,0:0:10,23198,up,2023-05-08 16:16:08.367,2,54,2023-05-08 16:17:06.131
GTSCDR GTARC|SCDR,1,ou,2023-05-08 16:17:06.606,1,0,0,00:00:00,2440,ou,2023-05-08 16:17:06.627,1,0,2023-05-08 16:17:06.609
SGWCDRM GTSGBDO|LTESGMA,1,ou,2023-05-08 16:17:06.797,1,0,0,00:00:00,1180,ou,2023-05-08 16:17:06.822,1,0,2023-05-08 16:17:06.800
GTSCDR GTMACH|NEXGT,5,ou,2023-05-08 16:13:02.886,5,0,0,0:0:25,1226,ou,2023-05-08 16:13:02.886,5,0,2023-05-08 16:17:06.901
SGWCDRM GTMACH|NEXGT,9,ou,2023-05-08 16:13:03.243,5,0,0,0:0:25,1910,ou,2023-05-08 16:13:03.243,5,0,2023-05-08 16:17:06.984
GTSCDR GTSGBDO|LTESCMA,1,ou,2023-05-08 16:12:08.221,6,0,0,0:0:30,1140,ou,2023-05-08 16:12:08.221,6,0,2023-05-08 16:17:07.095
GTSCDR GTSGBDO|LTSC3GR,2,ou,2023-05-08 16:09:06.027,9,0,0,0:0:45,1001,ou,2023-05-08 16:09:06.027,9,0,2023-05-08 16:17:07.178
PRD_HC3 GTARC|AHC34,1,ou,2023-05-08 16:06:08.055,12,0,0,0:1:0,127,ou,2023-05-08 16:06:08.055,12,0,2023-05-08 16:17:07.252
PRD2_TP GTARC|TAP0311,1,ou,2023-05-08 15:52:11.663,26,0,0,0:2:10,222,ou,2023-05-08 15:52:11.663,26,0,2023-05-08 16:17:07.380
PRD_HC3 GTARIS|AHC34,1,ou,2023-05-08 15:52:11.795,26,0,0,0:2:10,49,ou,2023-05-08 15:52:11.795,26,0,2023-05-08 16:17:07.424
PRD_HC3 GTICT|HC34INT,1,ou,2023-05-08 15:52:11.885,26,0,0,0:2:10,25,ou,2023-05-08 15:52:11.885,26,0,2023-05-08 16:17:07.646
PRD_HC3 GTSGBDO|HC34MA,1,ou,2023-05-08 15:52:11.983,26,0,0,0:2:10,40,ou,2023-05-08 15:52:11.983,26,0,2023-05-08 16:17:07.693
PRD_HC3 GTSGBDO|HC3EMRQ,1,ou,2023-05-08 15:52:12.026,26,0,0,0:2:10,41,ou,2023-05-08 15:52:12.026,26,0,2023-05-08 16:17:07.738
PRD2_TP GTARIS|TAP0312,1,ou,2023-05-08 15:51:18.095,27,0,0,0:2:15,197,ou,2023-05-08 15:51:18.095,27,0,2023-05-08 16:17:07.782
