label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-05-07 23:12:02.128,2,0,0,0:0:10,0,eq,2023-05-07 23:12:02.128,2,0,2023-05-07 23:13:02.305
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-07 11:09:05.310,725,0,0,10:0:25,0,eq,2023-05-07 11:09:05.310,725,0,2023-05-07 23:13:02.508
MSCPROD GTICT|HMSCINT,0,eq,2023-05-07 23:02:03.068,12,0,0,0:1:0,0,eq,2023-05-07 23:02:03.068,12,0,2023-05-07 23:13:02.710
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-07 23:02:03.262,12,0,0,0:1:0,0,eq,2023-05-07 23:02:03.262,12,0,2023-05-07 23:13:02.923
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-07 21:57:03.537,77,0,0,1:0:25,0,eq,2023-05-07 21:57:03.537,77,0,2023-05-07 23:13:03.139
TOTAL,0,eq,2023-05-07 11:08:24.688,726,0,0,10:0:30,,eq,2023-05-07 11:08:24.688,726,0,2023-05-07 23:13:03.354
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-07 23:06:04.811,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.811,8,0,2023-05-07 23:13:05.069
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-07 23:06:04.858,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.858,8,0,2023-05-07 23:13:05.118
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-07 23:06:04.907,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.907,8,0,2023-05-07 23:13:05.165
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-07 23:06:04.956,8,0,0,0:0:40,0,ou,2023-05-07 23:06:04.956,8,0,2023-05-07 23:13:05.211
MSCPROD GTARCEP|HMSC,0,ou,2023-05-07 23:06:05.003,8,0,0,0:0:40,0,ou,2023-05-07 23:06:05.003,8,0,2023-05-07 23:13:05.256
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-07 23:06:05.050,8,0,0,0:0:40,0,ou,2023-05-07 23:06:05.050,8,0,2023-05-07 23:13:05.302
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-07 23:01:05.957,13,0,0,0:1:5,0,ou,2023-05-07 23:01:05.957,13,0,2023-05-07 23:13:05.347
ARC_SMS GTARC|HSMSC,0,ou,2023-05-07 23:01:06.170,13,0,0,0:1:5,0,ou,2023-05-07 23:01:06.170,13,0,2023-05-07 23:13:05.392
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-07 22:56:06.172,18,0,0,0:1:30,0,ou,2023-05-07 22:56:06.172,18,0,2023-05-07 23:13:05.436
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-07 22:56:06.219,18,0,0,0:1:30,0,ou,2023-05-07 22:56:06.219,18,0,2023-05-07 23:13:05.482
GTSBC2 GTARC|SBC,0,ou,2023-05-07 22:53:05.520,21,0,0,0:1:45,0,ou,2023-05-07 22:53:05.520,21,0,2023-05-07 23:13:05.530
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-07 22:00:05.565,74,0,0,1:0:10,0,ou,2023-05-07 22:00:05.565,74,0,2023-05-07 23:13:05.578
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-07 21:32:04.900,102,0,0,1:2:30,0,ou,2023-05-07 21:32:04.900,102,0,2023-05-07 23:13:05.619
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-07 21:05:07.938,129,0,0,1:4:45,0,ou,2023-05-07 21:05:07.938,129,0,2023-05-07 23:13:05.658
MSCPROD GTARIS|HMSC,0,ou,2023-05-07 16:56:13.426,378,0,0,5:1:30,0,ou,2023-05-07 16:56:13.426,378,0,2023-05-07 23:13:05.698
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-07 15:51:06.992,443,0,0,6:0:55,0,ou,2023-05-07 15:51:06.992,443,0,2023-05-07 23:13:05.735
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-07 11:08:29.160,726,0,0,10:0:30,0,ou,2023-05-07 11:08:29.160,726,0,2023-05-07 23:13:05.772
