label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:11:10.730,33,0,0,0:2:45,,eq,2023-05-16 09:11:10.730,33,0,2023-05-16 09:43:03.333
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:14:04.033,30,0,0,0:2:30,0,eq,2023-05-16 09:14:04.033,30,0,2023-05-16 09:43:03.563
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.434,30,0,0,0:2:30,0,eq,2023-05-16 09:14:04.434,30,0,2023-05-16 09:43:03.809
MSCPROD GTICT|HMSCINT,0,eq,2023-05-16 09:27:04.802,17,0,0,0:1:25,0,eq,2023-05-16 09:27:04.802,17,0,2023-05-16 09:43:04.058
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-16 09:27:05.986,17,0,0,0:1:25,0,eq,2023-05-16 09:27:05.986,17,0,2023-05-16 09:43:04.291
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-16 09:27:06.216,17,0,0,0:1:25,0,eq,2023-05-16 09:27:06.216,17,0,2023-05-16 09:43:04.527
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-05-16 09:15:14.930,29,0,0,0:2:25,0,eq,2023-05-16 09:15:14.930,29,0,2023-05-16 09:43:04.773
TOTAL,0,eq,2023-05-16 09:14:05.655,30,0,0,0:2:30,0,eq,2023-05-16 09:14:05.655,30,0,2023-05-16 09:43:05.024
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-16 09:43:06.347,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.369,1,0,2023-05-16 09:43:06.350
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-16 09:43:06.397,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.418,1,0,2023-05-16 09:43:06.400
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-16 09:43:06.446,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.468,1,0,2023-05-16 09:43:06.449
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-16 09:43:06.496,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.517,1,0,2023-05-16 09:43:06.498
MSCPROD GTARCEP|HMSC,0,ou,2023-05-16 09:43:06.544,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.567,1,0,2023-05-16 09:43:06.547
MSCPROD GTARIS|HMSC,0,ou,2023-05-16 09:43:06.592,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.615,1,0,2023-05-16 09:43:06.595
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-16 09:43:06.703,1,0,0,00:00:00,0,ou,2023-05-16 09:43:06.727,1,0,2023-05-16 09:43:06.706
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 09:42:08.178,2,0,0,0:0:10,0,ou,2023-05-16 09:42:08.178,2,0,2023-05-16 09:43:06.756
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-16 09:42:08.594,2,0,0,0:0:10,0,ou,2023-05-16 09:42:08.594,2,0,2023-05-16 09:43:06.801
GTSBC2 GTARC|SBC,0,ou,2023-05-16 09:28:17.150,16,0,0,0:1:20,0,ou,2023-05-16 09:28:17.150,16,0,2023-05-16 09:43:06.845
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 09:28:17.196,16,0,0,0:1:20,0,ou,2023-05-16 09:28:17.196,16,0,2023-05-16 09:43:06.885
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 09:17:06.265,27,0,0,0:2:15,0,ou,2023-05-16 09:17:06.265,27,0,2023-05-16 09:43:06.926
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 09:16:07.053,28,0,0,0:2:20,0,ou,2023-05-16 09:16:07.053,28,0,2023-05-16 09:43:06.966
