label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated
ARCPSMS GTARCEP|HSMSCO2,17,up,2023-05-01 12:24:16.311,1,6,6,00:00:00,12540
MSCPROD GTARCEP|HMSC,1,up,2023-05-01 12:24:36.692,1,6,2023-05-01 12:24:36.673,in,2023-05-01 12:24:36.697,1,0,0,00:00:00,1,in,2023-05-01 12:24:36.718,1,0,2023-05-01 12:24:36.699
ARCSMS2 GTARC|HSMSC2,31305,in,2023-05-01 12:24:36.734,1,0,0,00:00:00,31305,in,2023-05-01 12:24:36.754,1,0,2023-05-01 12:24:36.736
ARCSMS2 GTARC|HSMSC2,31314,in,2023-05-01 12:24:36.810,1,0,0,00:00:00,31314
MSCPROD GTFSTAT|HMSC,71,in,2023-05-01 12:24:36.825,1,0,0,00:00:00,71,in,2023-05-01 12:24:36.830,1,0,2023-05-01 12:24:36.813,in,2023-05-01 12:24:36.846,1,0,2023-05-01 12:24:36.828
ARC_SMS GTARC|HSMSC,14,in,2023-05-01 12:24:36.859,1,0,0,00:00:00,14,in,2023-05-01 12:24:36.879,1,0,2023-05-01 12:24:36.861
ARCSMS2 GTARCEP|HSMSC2,9,in,2023-05-01 12:24:36.934,1,0,0,00:00:00,9
MSCPROD GTICT|HMSCINT,15,in,2023-05-01 12:24:36.952,1,0,0,00:00:00,in,2023-05-01 12:24:36.955,1,0,2023-05-01 12:24:36.937,15,in,2023-05-01 12:24:36.973,1,0,2023-05-01 12:24:36.955
GTSBC2 GTARC|SBC,5,in,2023-05-01 12:24:36.984,1,0,0,00:00:00,5,in,2023-05-01 12:24:37.005,1,0,2023-05-01 12:24:36.987
ARCSMS2 GTARCEP|OSMSC2,9,in,2023-05-01 12:24:37.060,1,0,0,00:00:00,9
MSCPROD GTICT|HMSCNAT,16,in,2023-05-01 12:24:37.081,1,0,0,00:00:00,in,2023-05-01 12:24:37.081,1,0,2023-05-01 12:24:37.063,16,in,2023-05-01 12:24:37.102,1,0,2023-05-01 12:24:37.083
GTSMSCT GTSGBDO|ESMSC,1,eq,2023-05-01 12:24:37.111,1,0,0,00:00:00,1,eq,2023-05-01 12:24:37.131,1,0,2023-05-01 12:24:37.114
ARC_SMS GTARC|HSMSC,15,in,2023-05-01 12:24:37.188,1,0,0,00:00:00,15
MSCPROD GTMACH|GTNEXGN,17,in,2023-05-01 12:24:37.208,1,0,2023-05-01 12:24:37.190,in,2023-05-01 12:24:37.210,1,0,0,00:00:00,17,in,2023-05-01 12:24:37.231,1,0,2023-05-01 12:24:37.212
MSCPROD GTARC|HMSC,543,eq,2023-05-01 12:24:37.265,1,0,0,00:00:00,543,eq,2023-05-01 12:24:37.285,1,0,2023-05-01 12:24:37.267
ARC_SMS GTARCEP|HSMSC,1,in,2023-05-01 12:24:37.315,1,0,0,00:00:00,1
MSCPROD GTSGBDO|MSCREQ,460,in,2023-05-01 12:24:37.334,1,0,2023-05-01 12:24:37.317,in,2023-05-01 12:24:37.339,1,0,0,00:00:00,460,in,2023-05-01 12:24:37.359,1,0,2023-05-01 12:24:37.341
MSCPROD GTARCEP|HMSC,1,in,2023-05-01 12:24:37.407,1,0,0,00:00:00,1,in,2023-05-01 12:24:37.427,1,0,2023-05-01 12:24:37.410
ARC_SMS GTARCEP|OSMSC,1,in,2023-05-01 12:24:37.438,1,0,0,00:00:00,1,in,2023-05-01 12:24:37.457,1,0
SBC_IMS GTARC|SBCIMS,41,2023-05-01 12:24:37.440,in,2023-05-01 12:24:37.463,1,0,0,00:00:00,41,in,2023-05-01 12:24:37.482,1,0,2023-05-01 12:24:37.465
MSCPROD GTFSTAT|HMSC,71,in,2023-05-01 12:24:37.529,1,0,0,00:00:00,71,in,2023-05-01 12:24:37.548,1,0,2023-05-01 12:24:37.531
GTSBC2 GTARC|SBC,5,in,2023-05-01 12:24:37.556,1,0,0,00:00:00,5,in,2023-05-01 12:24:37.576,1,0,2023-05-01 12:24:37.559
TOTAL,32500,in,2023-05-01 12:24:37.587,1,0,0,00:00:00,32500,in,2023-05-01 12:24:37.607,1,0,2023-05-01 12:24:37.590
MSCPROD GTICT|HMSCINT,15,in,2023-05-01 12:24:37.652,1,0,0,00:00:00,15,in,2023-05-01 12:24:37.672,1,0,2023-05-01 12:24:37.655
GTSMSCT GTSGBDO|ESMSC,1,in,2023-05-01 12:24:37.680,1,0,0,00:00:00,1,in,2023-05-01 12:24:37.699,1,0,2023-05-01 12:24:37.682
MSCPROD GTICT|HMSCNAT,16,in,2023-05-01 12:24:37.773,1,0,0,00:00:00,16,in,2023-05-01 12:24:37.793,1,0
MSCPROD GTARC|HMSC,549,2023-05-01 12:24:37.776,in,2023-05-01 12:24:37.799,1,0,0,00:00:00,549,in,2023-05-01 12:24:37.818,1,0,2023-05-01 12:24:37.801
