label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,in,2023-05-12 16:06:02.092,1,0,0,00:00:00,0,in,2023-05-12 16:06:02.121,1,0,2023-05-12 16:06:02.095
ARCSMS2 GTARC|HSMSC2,0,in,2023-05-12 16:06:02.340,1,0,0,00:00:00,0,in,2023-05-12 16:06:02.368,1,0,2023-05-12 16:06:02.343
ARCSMS2 GTARCEP|HSMSC2,0,in,2023-05-12 16:06:02.619,1,0,0,00:00:00,0,in,2023-05-12 16:06:02.652,1,0,2023-05-12 16:06:02.621
ARCSMS2 GTARCEP|OSMSC2,0,in,2023-05-12 16:06:02.886,1,0,0,00:00:00,0,in,2023-05-12 16:06:02.913,1,0,2023-05-12 16:06:02.888
GTSMSC2 GTSGBDO|ESMSC2,0,in,2023-05-12 16:06:03.150,1,0,0,00:00:00,0,in,2023-05-12 16:06:03.182,1,0,2023-05-12 16:06:03.153
MSCPROD GTARC|HMSC,0,eq,2023-05-12 15:56:02.952,11,0,0,0:0:55,0,eq,2023-05-12 15:56:02.952,11,0,2023-05-12 16:06:03.373
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-12 14:58:03.111,69,0,0,0:5:45,0,eq,2023-05-12 14:58:03.111,69,0,2023-05-12 16:06:03.596
MSCPROD GTICT|HMSCINT,0,eq,2023-05-12 15:52:03.909,15,0,0,0:1:15,0,eq,2023-05-12 15:52:03.909,15,0,2023-05-12 16:06:03.817
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-12 15:52:04.175,15,0,0,0:1:15,0,eq,2023-05-12 15:52:04.175,15,0,2023-05-12 16:06:04.037
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-12 14:58:03.784,69,0,0,0:5:45,0,eq,2023-05-12 14:58:03.784,69,0,2023-05-12 16:06:04.245
TOTAL,0,eq,2023-05-10 20:35:54.222,2612,0,0,36:1:40,0,eq,2023-05-10 20:35:54.222,2612,0,2023-05-12 16:06:04.452
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-12 16:06:05.623,1,0,0,00:00:00,0,ou,2023-05-12 16:06:05.645,1,0,2023-05-12 16:06:05.626
ARC_SMS GTARC|HSMSC,0,ou,2023-05-12 16:01:05.696,6,0,0,0:0:30,0,ou,2023-05-12 16:01:05.696,6,0,2023-05-12 16:06:05.675
MSCPROD GTARCEP|HMSC,0,ou,2023-05-12 16:01:05.744,6,0,0,0:0:30,0,ou,2023-05-12 16:01:05.744,6,0,2023-05-12 16:06:05.722
GTSBC2 GTARC|SBC,0,ou,2023-05-12 15:52:06.922,15,0,0,0:1:15,0,ou,2023-05-12 15:52:06.922,15,0,2023-05-12 16:06:05.767
MSCPROD GTARIS|HMSC,0,ou,2023-05-12 15:46:06.684,21,0,0,0:1:45,0,ou,2023-05-12 15:46:06.684,21,0,2023-05-12 16:06:05.813
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-12 15:46:06.732,21,0,0,0:1:45,0,ou,2023-05-12 15:46:06.732,21,0,2023-05-12 16:06:05.860
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-12 15:46:06.778,21,0,0,0:1:45,0,ou,2023-05-12 15:46:06.778,21,0,2023-05-12 16:06:05.903
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-12 14:56:04.688,71,0,0,0:5:55,0,ou,2023-05-12 14:56:04.688,71,0,2023-05-12 16:06:05.949
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-12 14:56:04.745,71,0,0,0:5:55,0,ou,2023-05-12 14:56:04.745,71,0,2023-05-12 16:06:05.992
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-12 12:38:05.678,209,0,0,2:5:25,0,ou,2023-05-12 12:38:05.678,209,0,2023-05-12 16:06:06.036
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-11 16:42:15.891,1405,0,0,19:3:5,0,ou,2023-05-11 16:42:15.891,1405,0,2023-05-12 16:06:06.080
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-11 16:01:06.995,1446,0,0,20:0:30,0,ou,2023-05-11 16:01:06.995,1446,0,2023-05-12 16:06:06.124
