label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,191,up,2023-05-12 15:17:01.656,1,1,1,00:00:00,1858,up,2023-05-12 15:17:01.675,1,1,2023-05-12 15:17:01.658
GTEVCTR GTSGBDO|CEVCTMA,313,up,2023-05-12 15:17:01.870,1,2,2,00:00:00,1470,up,2023-05-12 15:17:01.892,1,2,2023-05-12 15:17:01.873
TOTAL,504,dw,2023-05-12 15:17:02.094,1,-6,-6,00:00:00,13178,dw,2023-05-12 15:17:02.117,1,-6,2023-05-12 15:17:02.097
ARC_REC GTARC|OREC,2,ou,2023-05-12 15:17:02.308,1,0,0,00:00:00,375,ou,2023-05-12 15:17:02.328,1,0,2023-05-12 15:17:02.310
GTOCS5D GTSGBDO|CBP52DA,7,ou,2023-05-12 15:17:02.366,1,0,0,00:00:00,1163,ou,2023-05-12 15:17:02.388,1,0,2023-05-12 15:17:02.369
ARC_MGR GTARC|OMGR,3,ou,2023-05-12 15:13:02.990,5,0,0,0:0:25,2453,ou,2023-05-12 15:13:02.990,5,0,2023-05-12 15:17:02.424
ARC_MGR GTSGBDO|OCSMGR,4,ou,2023-05-12 15:13:03.044,5,0,0,0:0:25,649,ou,2023-05-12 15:13:03.044,5,0,2023-05-12 15:17:02.478
GTOCSMO GTSGBDO|CBPMON,4,ou,2023-05-12 15:13:03.098,5,0,0,0:0:25,860,ou,2023-05-12 15:13:03.098,5,0,2023-05-12 15:17:02.535
GTOCSMO GTSGBDO|CBPMON5,4,ou,2023-05-12 15:13:03.150,5,0,0,0:0:25,998,ou,2023-05-12 15:13:03.150,5,0,2023-05-12 15:17:02.597
ARC_MON GTARC|OMON,2,ou,2023-05-12 15:07:03.299,11,0,0,0:0:55,697,ou,2023-05-12 15:07:03.299,11,0,2023-05-12 15:17:02.659
ARC_SMO GTARC|OSMS,6,ou,2023-05-12 15:07:03.364,11,0,0,0:0:55,548,ou,2023-05-12 15:07:03.364,11,0,2023-05-12 15:17:02.713
ARC_SMO GTSGBDO|OCSSMS,1,ou,2023-05-12 15:07:03.428,11,0,0,0:0:55,144,ou,2023-05-12 15:07:03.428,11,0,2023-05-12 15:17:02.766
GTOCS5R GTSGBDO|CBPRE52,6,ou,2023-05-12 15:02:02.857,16,0,0,0:1:20,248,ou,2023-05-12 15:02:02.857,16,0,2023-05-12 15:17:02.819
GTOCS5L GTSGBDO|CBPLOAN,3,ou,2023-05-12 14:56:03.223,22,0,0,0:1:50,338,ou,2023-05-12 14:56:03.223,22,0,2023-05-12 15:17:02.869
ARC_DAT GTARC|ODATA,13,ou,2023-05-12 14:55:12.391,23,0,0,0:1:55,545,ou,2023-05-12 14:55:12.391,23,0,2023-05-12 15:17:02.920
ARC_DAT GTSGBDO|OCSDATA,1,ou,2023-05-12 14:55:12.759,23,0,0,0:1:55,144,ou,2023-05-12 14:55:12.759,23,0,2023-05-12 15:17:02.969
ARC_MON GTSGBDO|OCSMON,8,ou,2023-05-12 14:43:02.976,35,0,0,0:2:55,195,ou,2023-05-12 14:43:02.976,35,0,2023-05-12 15:17:03.024
GTEVCTR GTARC|OCTRA,1,ou,2023-05-12 14:42:07.032,36,0,0,0:3:0,20,ou,2023-05-12 14:42:07.032,36,0,2023-05-12 15:17:03.069
ARC_GFT GTARC|OGFT,1,ou,2023-05-12 14:26:04.571,52,0,0,0:4:20,582,ou,2023-05-12 14:26:04.571,52,0,2023-05-12 15:17:03.116
ARC_GFT GTSGBDO|OCSGFT,1,ou,2023-05-12 14:26:04.641,52,0,0,0:4:20,424,ou,2023-05-12 14:26:04.641,52,0,2023-05-12 15:17:03.161
GTOCS5M GTSGBDO|CBPMG52,1,ou,2023-05-12 14:26:04.849,52,0,0,0:4:20,602,ou,2023-05-12 14:26:04.849,52,0,2023-05-12 15:17:03.206
GTOCS5V GTSGBDO|CBPVO52,1,ou,2023-05-12 14:26:05.007,52,0,0,0:4:20,103,ou,2023-05-12 14:26:05.007,52,0,2023-05-12 15:17:03.250
ARC_LOA GTARC|OCSL,1,ou,2023-05-12 14:16:05.186,62,0,0,0:5:10,235,ou,2023-05-12 14:16:05.186,62,0,2023-05-12 15:17:03.294
ARC_LOA GTSGBDO|OCSLOAN,1,ou,2023-05-12 14:16:05.274,62,0,0,0:5:10,182,ou,2023-05-12 14:16:05.274,62,0,2023-05-12 15:17:03.337
GTEVC GTARC|OCEVC,1,ou,2023-05-12 13:57:02.638,81,0,0,1:0:45,28,ou,2023-05-12 13:57:02.638,81,0,2023-05-12 15:17:03.381
GTOCS5S GTSGBDO|CBPSM52,5,ou,2023-05-12 13:17:02.118,121,0,0,1:4:5,275,ou,2023-05-12 13:17:02.118,121,0,2023-05-12 15:17:03.424
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-12 10:27:02.788,291,0,0,4:0:15,13,ou,2023-05-12 10:27:02.788,291,0,2023-05-12 15:17:03.466
ARC_VOU GTARC|OVOU,6,ou,2023-05-12 10:26:04.151,292,0,0,4:0:20,242,ou,2023-05-12 10:26:04.151,292,0,2023-05-12 15:17:03.509
ARC_VOU GTSGBDO|OCSVOU,6,ou,2023-05-12 10:26:04.203,292,0,0,4:0:20,184,ou,2023-05-12 10:26:04.203,292,0,2023-05-12 15:17:03.548
ARC_REC GTSGBDO|OCSREC,1,ou,2023-05-12 07:36:05.949,462,0,0,6:2:30,107,ou,2023-05-12 07:36:05.949,462,0,2023-05-12 15:17:03.586
GTEVCTR GTSGBDO|CBPEVCT,1,ou,2023-05-11 23:19:02.727,959,0,0,13:1:55,6,ou,2023-05-11 23:19:02.727,959,0,2023-05-12 15:17:03.624
