label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,10587,up,2023-05-15 12:45:19.351,1,21,21,00:00:00,10605,up,2023-05-15 12:45:19.530,1,21,2023-05-15 12:45:19.354
MSCPROD GTSGBDO|MSCMAS,97,in,2023-05-15 12:45:31.024,1,0,0,00:00:00,97,in,2023-05-15 12:45:33.422,1,0,2023-05-15 12:45:33.184
ARCSMS2 GTARC|HSMSC2,26429,up,2023-05-15 12:45:39.387,1,13,13,00:00:00,26433,up,2023-05-15 12:45:39.413,1,13,2023-05-15 12:45:39.390
TOTAL,44644,in,2023-05-15 12:45:42.961,1,0,0,00:00:00,44644,in,2023-05-15 12:45:42.993,1,0,2023-05-15 12:45:42.965
ARCSMS2 GTARCEP|HSMSC2,17,up,2023-05-15 12:45:43.022,1,8,8,00:00:00,58,up,2023-05-15 12:45:43.042,1,8,2023-05-15 12:45:43.024
ARCSMS2 GTARCEP|OSMSC2,12,ou,2023-05-15 12:45:43.128,1,0,0,00:00:00,50,ou,2023-05-15 12:45:43.148,1,0,2023-05-15 12:45:43.131
GTSMSC2 GTSGBDO|ESMSC2,5488,ou,2023-05-15 12:45:43.175,1,0,0,00:00:00,5526
ARCSMS2 GTARCEP|OSMSC2,25,ou,2023-05-15 12:45:43.196,1,0,2023-05-15 12:45:43.178,in,2023-05-15 12:45:43.200,1,0,0,00:00:00,25,in,2023-05-15 12:45:43.227,1,0,2023-05-15 12:45:43.203
MSCPROD GTARC|HMSC,127,ou,2023-05-15 12:45:43.314,1,0,0,00:00:00,134,ou,2023-05-15 12:45:43.335,1,0,2023-05-15 12:45:43.317
MSCPROD GTARCEP|HMSC,23,ou,2023-05-15 12:45:45.214,1,0,0,00:00:00,33,ou,2023-05-15 12:45:45.774,1,0,2023-05-15 12:45:45.756
MSCPROD GTARIS|HMSC,31,ou,2023-05-15 12:45:47.278,1,0,0,00:00:00,31,ou,2023-05-15 12:45:47.870,1,0,2023-05-15 12:45:47.329
GTSMSC2 GTSGBDO|ESMSC2,5515,in
MSCPROD GTFSTAT|HMSC,277,2023-05-15 12:45:48.201,1,0,0,00:00:00,5515,ou,2023-05-15 12:45:48.209,1,0,0,00:00:00,277,ou,2023-05-15 12:45:48.231,1,0,2023-05-15 12:45:48.211,in,2023-05-15 12:45:48.232,1,0,2023-05-15 12:45:48.204
MSCPROD GTICT|HMSCINT,17,ou,2023-05-15 12:45:49.055,1,0,0,00:00:00,45,ou,2023-05-15 12:45:49.079,1,0,2023-05-15 12:45:49.057
MSCPROD GTICT|HMSCNAT,18,ou,2023-05-15 12:45:50.804,1,0,0,00:00:00,45,ou,2023-05-15 12:45:50.831,1,0,2023-05-15 12:45:50.807
MSCPROD GTMACH|GTNEXGN,1563,ou,2023-05-15 12:45:50.855,1,0,0,00:00:00,1563,ou,2023-05-15 12:45:50.880,1,0,2023-05-15 12:45:50.858
MSCPROD GTARC|HMSC,136,in,2023-05-15 12:45:58.543,1,0,0,00:00:00,136,in,2023-05-15 12:45:58.562,1,0,2023-05-15 12:45:58.545
MSCPROD GTARCEP|HMSC,33,in,2023-05-15 12:46:06.329,1,0,0,00:00:00,33,in,2023-05-15 12:46:06.371,1,0,2023-05-15 12:46:06.340
MSCPROD GTARIS|HMSC,35,in,2023-05-15 12:46:06.598,1,0,0,00:00:00,35,in,2023-05-15 12:46:06.622,1,0,2023-05-15 12:46:06.600
MSCPROD GTFSTAT|HMSC,281,in,2023-05-15 12:46:06.778,1,0,0,00:00:00,281,in,2023-05-15 12:46:06.838,1,0,2023-05-15 12:46:06.780
MSCPROD GTICT|HMSCINT,4,in,2023-05-15 12:46:07.317,1,0,0,00:00:00,4,in,2023-05-15 12:46:07.339,1,0,2023-05-15 12:46:07.320
MSCPROD GTICT|HMSCNAT,4,in,2023-05-15 12:46:07.462,1,0,0,00:00:00,4,in,2023-05-15 12:46:07.501,1,0,2023-05-15 12:46:07.466
MSCPROD GTMACH|GTNEXGN,1567,in,2023-05-15 12:46:07.687,1,0,0,00:00:00,1567,in,2023-05-15 12:46:07.713,1,0,2023-05-15 12:46:07.691
MSCPROD GTSGBDO|MSCMAS,101,in,2023-05-15 12:46:07.846,1,0,0,00:00:00,101,in,2023-05-15 12:46:07.869,1,0,2023-05-15 12:46:07.849
MSCPROD GTSGBDO|MSCREQ,4,in,2023-05-15 12:46:08.140,1,0,0,00:00:00,4,in,2023-05-15 12:46:08.161,1,0,2023-05-15 12:46:08.143
SBC_IMS GTARC|SBCIMS,1,in,2023-05-15 12:46:08.316,1,0,0,00:00:00,1,in,2023-05-15 12:46:08.340,1,0,2023-05-15 12:46:08.319
TOTAL,44739,in,2023-05-15 12:46:08.455,1,0,0,00:00:00,44739,in,2023-05-15 12:46:08.483,1,0,2023-05-15 12:46:08.458
