label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,in,2023-05-12 14:40:02.757,1,0,0,00:00:00,0,in,2023-05-12 14:40:02.793,1,0,2023-05-12 14:40:02.760
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-12 14:32:02.097,9,0,0,0:0:45,0,eq,2023-05-12 14:32:02.097,9,0,2023-05-12 14:40:03.034
ARCSMS2 GTARCEP|HSMSC2,0,in,2023-05-12 14:40:03.296,1,0,0,00:00:00,0,in,2023-05-12 14:40:03.333,1,0,2023-05-12 14:40:03.299
ARCSMS2 GTARCEP|OSMSC2,0,in,2023-05-12 14:40:03.579,1,0,0,00:00:00,0,in,2023-05-12 14:40:03.614,1,0,2023-05-12 14:40:03.582
ARC_SMS GTARC|HSMSC,0,in,2023-05-12 14:40:03.879,1,0,0,00:00:00,0,in,2023-05-12 14:40:03.915,1,0,2023-05-12 14:40:03.882
GTSMSC2 GTSGBDO|ESMSC2,0,in,2023-05-12 14:40:04.158,1,0,0,00:00:00,0,in,2023-05-12 14:40:04.189,1,0,2023-05-12 14:40:04.161
MSCPROD GTARC|HMSC,0,eq,2023-05-12 14:31:02.855,10,0,0,0:0:50,0,eq,2023-05-12 14:31:02.855,10,0,2023-05-12 14:40:04.453
MSCPROD GTARCEP|HMSC,0,in,2023-05-12 14:40:04.717,1,0,0,00:00:00,0,in,2023-05-12 14:40:04.750,1,0,2023-05-12 14:40:04.720
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-11 17:33:04.565,1268,0,0,17:3:40,0,eq,2023-05-11 17:33:04.565,1268,0,2023-05-12 14:40:04.961
MSCPROD GTICT|HMSCINT,0,eq,2023-05-12 14:12:03.471,29,0,0,0:2:25,0,eq,2023-05-12 14:12:03.471,29,0,2023-05-12 14:40:05.268
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-12 13:12:02.559,89,0,0,1:1:25,0,eq,2023-05-12 13:12:02.559,89,0,2023-05-12 14:40:05.620
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-12 06:27:03.490,494,0,0,6:5:10,0,eq,2023-05-12 06:27:03.490,494,0,2023-05-12 14:40:05.875
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-05-12 14:37:04.115,4,0,0,0:0:20,0,eq,2023-05-12 14:37:04.115,4,0,2023-05-12 14:40:06.177
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-12 14:31:03.940,10,0,0,0:0:50,0,eq,2023-05-12 14:31:03.940,10,0,2023-05-12 14:40:06.432
TOTAL,0,eq,2023-05-10 20:35:53.958,2526,0,0,35:0:30,0,eq,2023-05-10 20:35:53.958,2526,0,2023-05-12 14:40:06.649
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-12 14:01:05.283,40,0,0,0:3:20,0,ou,2023-05-12 14:01:05.283,40,0,2023-05-12 14:40:07.230
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-12 14:01:05.338,40,0,0,0:3:20,0,ou,2023-05-12 14:01:05.338,40,0,2023-05-12 14:40:07.320
GTSBC2 GTARC|SBC,0,ou,2023-05-12 13:53:05.425,48,0,0,0:4:0,0,ou,2023-05-12 13:53:05.425,48,0,2023-05-12 14:40:07.385
MSCPROD GTARIS|HMSC,0,ou,2023-05-12 13:51:06.229,50,0,0,0:4:10,0,ou,2023-05-12 13:51:06.229,50,0,2023-05-12 14:40:07.496
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-12 13:51:06.385,50,0,0,0:4:10,0,ou,2023-05-12 13:51:06.385,50,0,2023-05-12 14:40:07.544
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-12 12:38:04.931,123,0,0,1:4:15,0,ou,2023-05-12 12:38:04.931,123,0,2023-05-12 14:40:07.591
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-11 16:42:13.676,1319,0,0,18:1:55,0,ou,2023-05-11 16:42:13.676,1319,0,2023-05-12 14:40:07.639
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-11 16:01:06.710,1360,0,0,18:5:20,0,ou,2023-05-11 16:01:06.710,1360,0,2023-05-12 14:40:07.683
