label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-05 14:31:03.069,19,0,0,0:1:35,0,eq,2023-05-05 14:31:03.069,19,0,2023-05-05 14:49:03.797
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-05 14:31:03.276,19,0,0,0:1:35,0,eq,2023-05-05 14:31:03.276,19,0,2023-05-05 14:49:04.898
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-05-05 14:45:04.249,5,0,0,0:0:25,0,eq,2023-05-05 14:45:04.249,5,0,2023-05-05 14:49:05.893
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-05-05 14:45:04.456,5,0,0,0:0:25,0,eq,2023-05-05 14:45:04.456,5,0,2023-05-05 14:49:07.423
GTSBC2 GTARC|SBC,0,eq,2023-05-05 14:47:31.681,3,0,0,0:0:15,0,eq,2023-05-05 14:47:31.681,3,0,2023-05-05 14:49:07.936
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-05 14:26:04.663,24,0,0,0:2:0,0,eq,2023-05-05 14:26:04.663,24,0,2023-05-05 14:49:08.144
MSCPROD GTARC|HMSC,0,eq,2023-05-05 14:46:22.337,4,0,0,0:0:20,0,eq,2023-05-05 14:46:22.337,4,0,2023-05-05 14:49:08.355
MSCPROD GTARCEP|HMSC,0,eq,2023-05-05 14:46:22.975,4,0,0,0:0:20,0,eq,2023-05-05 14:46:22.975,4,0,2023-05-05 14:49:08.579
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-03 00:17:23.636,3753,0,0,52:0:45,0,eq,2023-05-03 00:17:23.636,3753,0,2023-05-05 14:49:08.794
MSCPROD GTICT|HMSCINT,0,eq,2023-05-05 14:42:04.267,8,0,0,0:0:40,0,eq,2023-05-05 14:42:04.267,8,0,2023-05-05 14:49:08.997
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-05 14:42:04.482,8,0,0,0:0:40,0,eq,2023-05-05 14:42:04.482,8,0,2023-05-05 14:49:09.215
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-05 10:57:04.353,233,0,0,3:1:25,0,eq,2023-05-05 10:57:04.353,233,0,2023-05-05 14:49:09.440
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-05-05 14:47:38.277,3,0,0,0:0:15,0,eq,2023-05-05 14:47:38.277,3,0,2023-05-05 14:49:09.668
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-05 14:47:39.310,3,0,0,0:0:15,0,eq,2023-05-05 14:47:39.310,3,0,2023-05-05 14:49:09.874
TOTAL,0,eq,2023-05-03 00:17:27.767,3753,0,0,52:0:45,0,eq,2023-05-03 00:17:27.767,3753,0,2023-05-05 14:49:10.074
MSCPROD GTARIS|HMSC,0,ou,2023-05-05 14:49:11.006,1,0,0,00:00:00,0,ou,2023-05-05 14:49:11.027,1,0,2023-05-05 14:49:11.009
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-05 14:48:18.713,2,0,0,0:0:10,0,ou,2023-05-05 14:48:18.713,2,0,2023-05-05 14:49:11.056
GTSBC2 GTICT|SBCINT,0,ou,2023-05-05 14:47:41.172,3,0,0,0:0:15,0,ou,2023-05-05 14:47:41.172,3,0,2023-05-05 14:49:11.101
GTSBC2 GTICT|SBCNAT,0,ou,2023-05-05 14:47:41.268,3,0,0,0:0:15,0,ou,2023-05-05 14:47:41.268,3,0,2023-05-05 14:49:11.145
ARC_SMS GTARC|HSMSC,0,ou,2023-05-05 14:46:29.651,4,0,0,0:0:20,0,ou,2023-05-05 14:46:29.651,4,0,2023-05-05 14:49:11.189
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-05 14:46:29.777,4,0,0,0:0:20,0,ou,2023-05-05 14:46:29.777,4,0,2023-05-05 14:49:11.244
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-05 14:46:29.823,4,0,0,0:0:20,0,ou,2023-05-05 14:46:29.823,4,0,2023-05-05 14:49:11.285
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-05 14:06:07.124,44,0,0,0:3:40,0,ou,2023-05-05 14:06:07.124,44,0,2023-05-05 14:49:11.327
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-05 01:52:06.273,778,0,0,10:4:50,0,ou,2023-05-05 01:52:06.273,778,0,2023-05-05 14:49:11.366
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-05 01:52:06.324,778,0,0,10:4:50,0,ou,2023-05-05 01:52:06.324,778,0,2023-05-05 14:49:11.406
