label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 08:27:02.340,77,0,0,1:0:25,0,eq,2023-05-16 08:27:02.340,77,0,2023-05-16 09:43:02.177
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.394,23,0,0,0:1:55,0,eq,2023-05-16 09:21:02.394,23,0,2023-05-16 09:43:02.400
TOTAL,0,eq,2023-05-16 08:27:03.290,77,0,0,1:0:25,0,eq,2023-05-16 08:27:03.290,77,0,2023-05-16 09:43:02.642
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:43:05.037,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.060,1,0,2023-05-16 09:43:05.040
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:43:05.095,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.116,1,0,2023-05-16 09:43:05.098
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 09:43:05.149,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.170,1,0,2023-05-16 09:43:05.152
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 09:43:05.204,1,0,0,00:00:00,0,ou,2023-05-16 09:43:05.224,1,0,2023-05-16 09:43:05.207
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-16 09:31:07.087,13,0,0,0:1:5,0,ou,2023-05-16 09:31:07.087,13,0,2023-05-16 09:43:05.257
ARC_GFT GTARC|OGFT,0,ou,2023-05-16 09:27:05.230,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.230,17,0,2023-05-16 09:43:05.306
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-16 09:27:05.284,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.284,17,0,2023-05-16 09:43:05.355
ARC_LOA GTARC|OCSL,0,ou,2023-05-16 09:27:05.339,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.339,17,0,2023-05-16 09:43:05.405
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-16 09:27:05.394,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.394,17,0,2023-05-16 09:43:05.455
ARC_REC GTARC|OREC,0,ou,2023-05-16 09:27:05.448,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.448,17,0,2023-05-16 09:43:05.503
ARC_REC GTSGBDO|OCSREC,0,ou,2023-05-16 09:27:05.502,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.502,17,0,2023-05-16 09:43:05.550
ARC_VOU GTARC|OVOU,0,ou,2023-05-16 09:27:05.555,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.555,17,0,2023-05-16 09:43:05.598
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-16 09:27:05.605,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.605,17,0,2023-05-16 09:43:05.642
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-16 09:27:05.713,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.713,17,0,2023-05-16 09:43:05.687
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-16 09:27:05.766,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.766,17,0,2023-05-16 09:43:05.731
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-16 09:27:05.816,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.816,17,0,2023-05-16 09:43:05.776
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-16 09:27:05.864,17,0,0,0:1:25,0,ou,2023-05-16 09:27:05.864,17,0,2023-05-16 09:43:05.819
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:05.096,25,0,0,0:2:5,0,ou,2023-05-16 09:19:05.096,25,0,2023-05-16 09:43:05.863
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:05.150,25,0,0,0:2:5,0,ou,2023-05-16 09:19:05.150,25,0,2023-05-16 09:43:05.903
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:05.202,25,0,0,0:2:5,0,ou,2023-05-16 09:19:05.202,25,0,2023-05-16 09:43:05.944
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:05.257,25,0,0,0:2:5,0,ou,2023-05-16 09:19:05.257,25,0,2023-05-16 09:43:05.985
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 09:17:44.687,27,0,0,0:2:15,0,ou,2023-05-16 09:17:44.687,27,0,2023-05-16 09:43:06.026
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 08:47:19.976,57,0,0,0:4:45,0,ou,2023-05-16 08:47:19.976,57,0,2023-05-16 09:43:06.065
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:10.563,78,0,0,1:0:30,0,ou,2023-05-16 08:26:10.563,78,0,2023-05-16 09:43:06.105
