label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTSCDR GTARC|SCDR,1,in,2023-05-16 09:26:02.312,1,0,0,00:00:00,15,in,2023-05-16 09:26:02.346,1,0,2023-05-16 09:26:02.315
PGWCDRM GTARC|LTEM,264,up,2023-05-16 09:26:02.581,1,2,2,00:00:00,373,up,2023-05-16 09:26:02.602,1,2,2023-05-16 09:26:02.584
PGWCDRM GTARC|PGWCD,454,eq,2023-05-16 09:26:02.784,1,0,0,00:00:00,996,eq,2023-05-16 09:26:02.806,1,0,2023-05-16 09:26:02.786
PGWCDRM GTSGBDO|LTEPGMA,2,dw,2023-05-16 09:26:03.151,1,-4,-4,00:00:00,46,dw,2023-05-16 09:26:03.174,1,-4,2023-05-16 09:26:03.154
PRD2_TP GTARC|TAP0311,5,in,2023-05-16 09:26:03.365,1,0,0,00:00:00,5,in,2023-05-16 09:26:03.403,1,0,2023-05-16 09:26:03.368
PRD2_TP GTARIS|TAP0312,6,in,2023-05-16 09:26:03.601,1,0,0,00:00:00,6,in,2023-05-16 09:26:03.641,1,0,2023-05-16 09:26:03.604
PRD_HC3 GTARC|AHC34,1,in,2023-05-16 09:26:03.849,1,0,0,00:00:00,2,in,2023-05-16 09:26:03.887,1,0,2023-05-16 09:26:03.852
PRD_HC3 GTICT|HC34NAT,44,eq,2023-05-16 09:23:02.556,4,0,0,0:0:20,82,eq,2023-05-16 09:23:02.556,4,0,2023-05-16 09:26:04.145
SGWCDRM GTARC|SGWCDR,168,up,2023-05-16 09:26:04.356,1,1,1,00:00:00,426,up,2023-05-16 09:26:04.381,1,1,2023-05-16 09:26:04.359
TOTAL,945,up,2023-05-16 09:26:04.577,1,7,7,00:00:00,1307,up,2023-05-16 09:26:04.602,1,7,2023-05-16 09:26:04.579
PGWCDRM GTSGBDO|LTEPGQ4,4,ou,2023-05-16 09:26:04.781,1,0,0,00:00:00,44,ou,2023-05-16 09:26:04.803,1,0,2023-05-16 09:26:04.784
SGWCDRM GTSGBDO|LTES4GR,1,ou,2023-05-16 09:26:04.833,1,0,0,00:00:00,218,ou,2023-05-16 09:26:04.856,1,0,2023-05-16 09:26:04.836
SGWCDRM GTSGBDO|LTESGMA,1,ou,2023-05-16 09:25:04.688,2,0,0,0:0:10,18,ou,2023-05-16 09:25:04.688,2,0,2023-05-16 09:26:04.883
SGWCDRM GTMACH|NEXGT,2,ou,2023-05-16 09:24:03.999,3,0,0,0:0:15,172,ou,2023-05-16 09:24:03.999,3,0,2023-05-16 09:26:04.930
GTSCDR GTMACH|NEXGT,27,ou,2023-05-16 09:23:03.786,4,0,0,0:0:20,93,ou,2023-05-16 09:23:03.786,4,0,2023-05-16 09:26:04.975
GTSCDR GTSGBDO|LTSC3GR,11,ou,2023-05-16 09:19:34.196,8,0,0,0:0:40,19,ou,2023-05-16 09:19:34.196,8,0,2023-05-16 09:26:05.050
GTSCDR GTSGBDO|LTESCMA,2,ou,2023-05-16 09:18:05.470,9,0,0,0:0:45,11,ou,2023-05-16 09:18:05.470,9,0,2023-05-16 09:26:05.129
PRD_HC3 GTARIS|AHC34,1,ou,2023-05-16 09:16:29.968,11,0,0,0:0:55,1,ou,2023-05-16 09:16:29.968,11,0,2023-05-16 09:26:05.204
PRD_HC3 GTICT|HC34INT,1,ou,2023-05-16 09:16:30.065,11,0,0,0:0:55,1,ou,2023-05-16 09:16:30.065,11,0,2023-05-16 09:26:05.249
PRD_HC3 GTSGBDO|HC34MA,1,ou,2023-05-16 09:16:30.112,11,0,0,0:0:55,1,ou,2023-05-16 09:16:30.112,11,0,2023-05-16 09:26:05.293
PRD_HC3 GTSGBDO|HC3EMRQ,1,ou,2023-05-16 09:16:30.244,11,0,0,0:0:55,1,ou,2023-05-16 09:16:30.244,11,0,2023-05-16 09:26:05.335
