label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,167,eq,2023-05-12 14:38:01.384,3,0,0,0:0:15,1834,eq,2023-05-12 14:38:01.384,3,0,2023-05-12 14:40:01.372
GTEVCTR GTSGBDO|CEVCTMA,292,eq,2023-05-12 14:38:02.243,3,0,0,0:0:15,1449,eq,2023-05-12 14:38:02.243,3,0,2023-05-12 14:40:02.270
TOTAL,459,eq,2023-05-12 14:38:03.160,3,0,0,0:0:15,12909,eq,2023-05-12 14:38:03.160,3,0,2023-05-12 14:40:04.200
GTOCSMO GTSGBDO|CBPMON,2,ou,2023-05-12 14:37:04.689,4,0,0,0:0:20,840,ou,2023-05-12 14:37:04.689,4,0,2023-05-12 14:40:05.635
GTOCSMO GTSGBDO|CBPMON5,2,ou,2023-05-12 14:37:04.982,4,0,0,0:0:20,978,ou,2023-05-12 14:37:04.982,4,0,2023-05-12 14:40:05.776
GTOCS5L GTSGBDO|CBPLOAN,1,ou,2023-05-12 14:36:05.608,5,0,0,0:0:25,334,ou,2023-05-12 14:36:05.608,5,0,2023-05-12 14:40:06.097
ARC_GFT GTARC|OGFT,1,ou,2023-05-12 14:26:04.571,15,0,0,0:1:15,582,ou,2023-05-12 14:26:04.571,15,0,2023-05-12 14:40:06.233
ARC_GFT GTSGBDO|OCSGFT,1,ou,2023-05-12 14:26:04.641,15,0,0,0:1:15,424,ou,2023-05-12 14:26:04.641,15,0,2023-05-12 14:40:06.361
GTOCS5D GTSGBDO|CBP52DA,2,ou,2023-05-12 14:26:04.712,15,0,0,0:1:15,1146,ou,2023-05-12 14:26:04.712,15,0,2023-05-12 14:40:06.481
GTOCS5M GTSGBDO|CBPMG52,1,ou,2023-05-12 14:26:04.849,15,0,0,0:1:15,602,ou,2023-05-12 14:26:04.849,15,0,2023-05-12 14:40:06.597
GTOCS5V GTSGBDO|CBPVO52,1,ou,2023-05-12 14:26:05.007,15,0,0,0:1:15,103,ou,2023-05-12 14:26:05.007,15,0,2023-05-12 14:40:06.715
ARC_DAT GTARC|ODATA,1,ou,2023-05-12 14:25:13.556,16,0,0,0:1:20,520,ou,2023-05-12 14:25:13.556,16,0,2023-05-12 14:40:06.821
ARC_DAT GTSGBDO|OCSDATA,1,ou,2023-05-12 14:25:13.622,16,0,0,0:1:20,132,ou,2023-05-12 14:25:13.622,16,0,2023-05-12 14:40:06.909
ARC_MGR GTARC|OMGR,14,ou,2023-05-12 14:25:13.684,16,0,0,0:1:20,2393,ou,2023-05-12 14:25:13.684,16,0,2023-05-12 14:40:07.026
ARC_MGR GTSGBDO|OCSMGR,7,ou,2023-05-12 14:25:13.750,16,0,0,0:1:20,622,ou,2023-05-12 14:25:13.750,16,0,2023-05-12 14:40:07.147
ARC_MON GTARC|OMON,8,ou,2023-05-12 14:25:13.859,16,0,0,0:1:20,682,ou,2023-05-12 14:25:13.859,16,0,2023-05-12 14:40:07.248
