label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-16 09:14:03.149,70,0,0,0:5:50,0,eq,2023-05-16 09:14:03.149,70,0,2023-05-16 10:23:02.762
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-16 10:14:03.230,10,0,0,0:0:50,0,eq,2023-05-16 10:14:03.230,10,0,2023-05-16 10:23:02.981
GTSBC2 GTARC|SBC,0,eq,2023-05-16 10:22:03.632,2,0,0,0:0:10,0,eq,2023-05-16 10:22:03.632,2,0,2023-05-16 10:23:03.221
MSCPROD GTARC|HMSC,0,eq,2023-05-16 09:52:05.558,32,0,0,0:2:40,0,eq,2023-05-16 09:52:05.558,32,0,2023-05-16 10:23:03.447
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-16 09:14:04.370,70,0,0,0:5:50,0,eq,2023-05-16 09:14:04.370,70,0,2023-05-16 10:23:03.671
MSCPROD GTICT|HMSCINT,0,eq,2023-05-16 10:02:05.652,22,0,0,0:1:50,0,eq,2023-05-16 10:02:05.652,22,0,2023-05-16 10:23:03.891
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-16 10:02:05.883,22,0,0,0:1:50,0,eq,2023-05-16 10:02:05.883,22,0,2023-05-16 10:23:04.113
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-16 09:27:06.139,57,0,0,0:4:45,0,eq,2023-05-16 09:27:06.139,57,0,2023-05-16 10:23:04.331
MSCPROD GTSGBDO|MSCMAS,0,eq,2023-05-16 10:22:05.427,2,0,0,0:0:10,0,eq,2023-05-16 10:22:05.427,2,0,2023-05-16 10:23:04.550
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-16 10:21:07.577,3,0,0,0:0:15,0,eq,2023-05-16 10:21:07.577,3,0,2023-05-16 10:23:04.804
TOTAL,0,eq,2023-05-16 09:14:05.585,70,0,0,0:5:50,0,eq,2023-05-16 09:14:05.585,70,0,2023-05-16 10:23:05.027
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-16 10:23:05.648,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.670,1,0,2023-05-16 10:23:05.650
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-16 10:23:05.698,1,0,0,00:00:00,0,ou,2023-05-16 10:23:05.721,1,0,2023-05-16 10:23:05.701
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-16 10:22:06.473,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.473,2,0,2023-05-16 10:23:05.750
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-16 10:22:06.524,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.524,2,0,2023-05-16 10:23:05.799
MSCPROD GTARCEP|HMSC,0,ou,2023-05-16 10:22:06.574,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.574,2,0,2023-05-16 10:23:05.843
MSCPROD GTARIS|HMSC,0,ou,2023-05-16 10:22:06.626,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.626,2,0,2023-05-16 10:23:05.888
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-16 10:22:06.675,2,0,0,0:0:10,0,ou,2023-05-16 10:22:06.675,2,0,2023-05-16 10:23:05.932
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-16 10:21:08.216,3,0,0,0:0:15,0,ou,2023-05-16 10:21:08.216,3,0,2023-05-16 10:23:05.973
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-16 10:21:08.271,3,0,0,0:0:15,0,ou,2023-05-16 10:21:08.271,3,0,2023-05-16 10:23:06.028
ARC_SMS GTARC|HSMSC,0,ou,2023-05-16 10:01:30.590,23,0,0,0:1:55,0,ou,2023-05-16 10:01:30.590,23,0,2023-05-16 10:23:06.085
