label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_GFT GTARC|OGFT,0,in,2023-05-16 09:26:01.846,1,0,0,00:00:00,0,in,2023-05-16 09:26:01.889,1,0,2023-05-16 09:26:01.852
ARC_GFT GTSGBDO|OCSGFT,0,in,2023-05-16 09:26:02.143,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.176,1,0,2023-05-16 09:26:02.146
ARC_LOA GTARC|OCSL,0,in,2023-05-16 09:26:02.440,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.471,1,0,2023-05-16 09:26:02.443
ARC_LOA GTSGBDO|OCSLOAN,0,in,2023-05-16 09:26:02.707,1,0,0,00:00:00,0,in,2023-05-16 09:26:02.740,1,0,2023-05-16 09:26:02.710
ARC_REC GTARC|OREC,0,in,2023-05-16 09:26:02.983,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.014,1,0,2023-05-16 09:26:02.985
ARC_REC GTSGBDO|OCSREC,0,in,2023-05-16 09:26:03.260,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.302,1,0,2023-05-16 09:26:03.262
ARC_VOU GTARC|OVOU,0,in,2023-05-16 09:26:03.511,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.549,1,0,2023-05-16 09:26:03.514
ARC_VOU GTSGBDO|OCSVOU,0,in,2023-05-16 09:26:03.752,1,0,0,00:00:00,0,in,2023-05-16 09:26:03.791,1,0,2023-05-16 09:26:03.755
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-16 08:27:02.340,60,0,0,0:5:0,0,eq,2023-05-16 08:27:02.340,60,0,2023-05-16 09:26:03.949
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-16 09:21:02.394,6,0,0,0:0:30,0,eq,2023-05-16 09:21:02.394,6,0,2023-05-16 09:26:04.145
GTOCS5L GTSGBDO|CBPLOAN,0,in,2023-05-16 09:26:04.377,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.418,1,0,2023-05-16 09:26:04.380
GTOCS5M GTSGBDO|CBPMG52,0,in,2023-05-16 09:26:04.674,1,0,0,00:00:00,0,in,2023-05-16 09:26:04.711,1,0,2023-05-16 09:26:04.677
GTOCS5R GTSGBDO|CBPRE52,0,in,2023-05-16 09:26:05.133,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.171,1,0,2023-05-16 09:26:05.137
GTOCS5S GTSGBDO|CBPSM52,0,in,2023-05-16 09:26:05.623,1,0,0,00:00:00,0,in,2023-05-16 09:26:05.774,1,0,2023-05-16 09:26:05.626
GTOCS5V GTSGBDO|CBPVO52,0,in,2023-05-16 09:26:07.410,1,0,0,00:00:00,0,in,2023-05-16 09:26:07.568,1,0,2023-05-16 09:26:07.439
TOTAL,0,eq,2023-05-16 08:27:03.290,60,0,0,0:5:0,0,eq,2023-05-16 08:27:03.290,60,0,2023-05-16 09:26:08.870
GTOCSMO GTSGBDO|CBPMON,0,ou,2023-05-16 09:25:05.027,2,0,0,0:0:10,0,ou,2023-05-16 09:25:05.027,2,0,2023-05-16 09:26:16.125
GTOCSMO GTSGBDO|CBPMON5,0,ou,2023-05-16 09:25:05.085,2,0,0,0:0:10,0,ou,2023-05-16 09:25:05.085,2,0,2023-05-16 09:26:16.469
ARC_MGR GTARC|OMGR,0,ou,2023-05-16 09:19:05.096,8,0,0,0:0:40,0,ou,2023-05-16 09:19:05.096,8,0,2023-05-16 09:26:16.688
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-16 09:19:05.150,8,0,0,0:0:40,0,ou,2023-05-16 09:19:05.150,8,0,2023-05-16 09:26:16.821
ARC_MON GTARC|OMON,0,ou,2023-05-16 09:19:05.202,8,0,0,0:0:40,0,ou,2023-05-16 09:19:05.202,8,0,2023-05-16 09:26:16.954
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-16 09:19:05.257,8,0,0,0:0:40,0,ou,2023-05-16 09:19:05.257,8,0,2023-05-16 09:26:17.111
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-16 09:17:44.687,10,0,0,0:0:50,0,ou,2023-05-16 09:17:44.687,10,0,2023-05-16 09:26:17.251
GTEVC GTARC|OCEVC,0,ou,2023-05-16 09:12:07.826,15,0,0,0:1:15,0,ou,2023-05-16 09:12:07.826,15,0,2023-05-16 09:26:17.380
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-16 09:12:07.954,15,0,0,0:1:15,0,ou,2023-05-16 09:12:07.954,15,0,2023-05-16 09:26:17.514
GTEVCTR GTARC|OCTRA,0,ou,2023-05-16 08:47:19.976,40,0,0,0:3:20,0,ou,2023-05-16 08:47:19.976,40,0,2023-05-16 09:26:17.690
ARC_DAT GTARC|ODATA,0,ou,2023-05-16 08:26:10.563,61,0,0,0:5:5,0,ou,2023-05-16 08:26:10.563,61,0,2023-05-16 09:26:17.929
