label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,208,eq,2023-05-08 15:51:01.434,2,0,0,0:0:10,2733,eq,2023-05-08 15:51:01.434,2,0,2023-05-08 15:52:01.641
GTEVCTR GTSGBDO|CEVCTMA,349,eq,2023-05-08 15:51:03.043,2,0,0,0:0:10,2101,eq,2023-05-08 15:51:03.043,2,0,2023-05-08 15:52:01.863
TOTAL,557,dw,2023-05-08 15:52:02.108,1,-3,-3,00:00:00,17703,dw,2023-05-08 15:52:02.133,1,-3,2023-05-08 15:52:02.111
GTOCS5R GTSGBDO|CBPRE52,3,ou,2023-05-08 15:52:02.349,1,0,0,00:00:00,308,ou,2023-05-08 15:52:02.375,1,0,2023-05-08 15:52:02.352
GTOCSMO GTSGBDO|CBPMON,2,ou,2023-05-08 15:49:05.593,4,0,0,0:0:20,1514,ou,2023-05-08 15:49:05.593,4,0,2023-05-08 15:52:02.421
GTOCSMO GTSGBDO|CBPMON5,2,ou,2023-05-08 15:49:06.278,4,0,0,0:0:20,1741,ou,2023-05-08 15:49:06.278,4,0,2023-05-08 15:52:02.487
GTOCS5V GTSGBDO|CBPVO52,3,ou,2023-05-08 15:46:02.103,7,0,0,0:0:35,586,ou,2023-05-08 15:46:02.103,7,0,2023-05-08 15:52:02.548
ARC_DAT GTARC|ODATA,5,ou,2023-05-08 15:32:02.320,21,0,0,0:1:45,783,ou,2023-05-08 15:32:02.320,21,0,2023-05-08 15:52:02.606
ARC_DAT GTSGBDO|OCSDATA,5,ou,2023-05-08 15:32:02.398,21,0,0,0:1:45,243,ou,2023-05-08 15:32:02.398,21,0,2023-05-08 15:52:02.666
ARC_GFT GTARC|OGFT,7,ou,2023-05-08 15:32:02.467,21,0,0,0:1:45,363,ou,2023-05-08 15:32:02.467,21,0,2023-05-08 15:52:02.724
ARC_GFT GTSGBDO|OCSGFT,4,ou,2023-05-08 15:32:02.533,21,0,0,0:1:45,256,ou,2023-05-08 15:32:02.533,21,0,2023-05-08 15:52:02.783
ARC_LOA GTARC|OCSL,2,ou,2023-05-08 15:32:02.600,21,0,0,0:1:45,110,ou,2023-05-08 15:32:02.600,21,0,2023-05-08 15:52:02.843
ARC_MGR GTARC|OMGR,12,ou,2023-05-08 15:32:02.665,21,0,0,0:1:45,2863,ou,2023-05-08 15:32:02.665,21,0,2023-05-08 15:52:02.900
ARC_VOU GTARC|OVOU,4,ou,2023-05-08 15:32:02.737,21,0,0,0:1:45,320,ou,2023-05-08 15:32:02.737,21,0,2023-05-08 15:52:02.955
GTOCS5L GTSGBDO|CBPLOAN,1,ou,2023-05-08 15:31:06.074,22,0,0,0:1:50,308,ou,2023-05-08 15:31:06.074,22,0,2023-05-08 15:52:03.013
ARC_REC GTARC|OREC,8,ou,2023-05-08 15:17:03.056,36,0,0,0:3:0,290,ou,2023-05-08 15:17:03.056,36,0,2023-05-08 15:52:03.070
GTOCS5D GTSGBDO|CBP52DA,8,ou,2023-05-08 15:17:03.170,36,0,0,0:3:0,1213,ou,2023-05-08 15:17:03.170,36,0,2023-05-08 15:52:03.126
ARC_MGR GTSGBDO|OCSMGR,1,ou,2023-05-08 14:25:03.427,88,0,0,1:1:20,1191,ou,2023-05-08 14:25:03.427,88,0,2023-05-08 15:52:03.182
ARC_MON GTARC|OMON,1,ou,2023-05-08 14:25:03.562,88,0,0,1:1:20,960,ou,2023-05-08 14:25:03.562,88,0,2023-05-08 15:52:03.235
ARC_MON GTSGBDO|OCSMON,1,ou,2023-05-08 14:25:03.663,88,0,0,1:1:20,310,ou,2023-05-08 14:25:03.663,88,0,2023-05-08 15:52:03.286
ARC_SMO GTARC|OSMS,3,ou,2023-05-08 14:19:02.672,94,0,0,1:1:50,609,ou,2023-05-08 14:19:02.672,94,0,2023-05-08 15:52:03.336
ARC_SMO GTSGBDO|OCSSMS,1,ou,2023-05-08 14:19:02.734,94,0,0,1:1:50,178,ou,2023-05-08 14:19:02.734,94,0,2023-05-08 15:52:03.385
GTEVC GTARC|OCEVC,3,ou,2023-05-08 13:53:02.180,120,0,0,1:4:0,25,ou,2023-05-08 13:53:02.180,120,0,2023-05-08 15:52:03.434
GTOCS5M GTSGBDO|CBPMG52,4,ou,2023-05-08 13:51:02.685,122,0,0,1:4:10,81,ou,2023-05-08 13:51:02.685,122,0,2023-05-08 15:52:03.482
ARC_REC GTSGBDO|OCSREC,5,ou,2023-05-08 13:47:03.064,126,0,0,1:4:30,74,ou,2023-05-08 13:47:03.064,126,0,2023-05-08 15:52:03.530
ARC_VOU GTSGBDO|OCSVOU,10,ou,2023-05-08 13:47:03.189,126,0,0,1:4:30,233,ou,2023-05-08 13:47:03.189,126,0,2023-05-08 15:52:03.576
GTEVCTR GTARC|OCTRA,1,ou,2023-05-08 13:27:02.959,146,0,0,2:0:10,16,ou,2023-05-08 13:27:02.959,146,0,2023-05-08 15:52:03.625
GTEVCTR GTSGBDO|CBPEVCT,2,ou,2023-05-08 10:19:04.116,334,0,0,4:3:50,3,ou,2023-05-08 10:19:04.116,334,0,2023-05-08 15:52:03.668
GTOCS5S GTSGBDO|CBPSM52,2,ou,2023-05-08 09:47:14.348,366,0,0,5:0:30,396,ou,2023-05-08 09:47:14.348,366,0,2023-05-08 15:52:03.711
ARC_LOA GTSGBDO|OCSLOAN,2,ou,2023-05-08 05:51:03.365,602,0,0,8:2:10,88,ou,2023-05-08 05:51:03.365,602,0,2023-05-08 15:52:03.752
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-08 05:27:02.526,626,0,0,8:4:10,3,ou,2023-05-08 05:27:02.526,626,0,2023-05-08 15:52:03.795
ARC_CLR GTARC|OCLR,24,ou,2023-05-06 00:42:02.984,3791,0,0,52:3:55,51,ou,2023-05-06 00:42:02.984,3791,0,2023-05-08 15:52:03.839
ARC_CLR GTSGBDO|OCSCL,16,ou,2023-05-06 00:42:03.057,3791,0,0,52:3:55,35,ou,2023-05-06 00:42:03.057,3791,0,2023-05-08 15:52:03.880
