label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PGWCDRM GTARC|LTEM,0,eq,2023-05-16 09:09:08.135,35,0,0,0:2:55,0,eq,2023-05-16 09:09:08.135,35,0,2023-05-16 09:43:02.478
PGWCDRM GTARC|PGWCD,0,eq,2023-05-16 09:09:25.956,35,0,0,0:2:55,0,eq,2023-05-16 09:09:25.956,35,0,2023-05-16 09:43:02.901
PGWCDRM GTSGBDO|LTEPGMA,0,in,2023-05-16 09:43:03.254,1,0,0,00:00:00,0,in,2023-05-16 09:43:03.285,1,0,2023-05-16 09:43:03.257
PGWCDRM GTSGBDO|LTEPGQ4,0,in,2023-05-16 09:43:03.607,1,0,0,00:00:00,0,in,2023-05-16 09:43:03.637,1,0,2023-05-16 09:43:03.610
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-16 09:12:18.353,32,0,0,0:2:40,0,eq,2023-05-16 09:12:18.353,32,0,2023-05-16 09:43:03.978
SGWCDRM GTARC|SGWCDR,0,eq,2023-05-16 09:12:19.711,32,0,0,0:2:40,0,eq,2023-05-16 09:12:19.711,32,0,2023-05-16 09:43:04.295
SGWCDRM GTSGBDO|LTES4GR,0,in,2023-05-16 09:43:04.604,1,0,0,00:00:00,0,in,2023-05-16 09:43:04.635,1,0,2023-05-16 09:43:04.607
SGWCDRM GTSGBDO|LTESGMA,0,in,2023-05-16 09:43:05.240,1,0,0,00:00:00,0,in,2023-05-16 09:43:05.265,1,0,2023-05-16 09:43:05.243
TOTAL,0,eq,2023-05-16 09:11:41.202,33,0,0,0:2:45,0,eq,2023-05-16 09:11:41.202,33,0,2023-05-16 09:43:05.725
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-16 09:43:07.691,1,0,0,00:00:00,0,ou,2023-05-16 09:43:07.711,1,0,2023-05-16 09:43:07.694
GTSCDR GTMACH|NEXGT,0,ou,2023-05-16 09:42:14.213,2,0,0,0:0:10,0,ou,2023-05-16 09:42:14.213,2,0,2023-05-16 09:43:07.740
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-16 09:40:05.958,4,0,0,0:0:20,0,ou,2023-05-16 09:40:05.958,4,0,2023-05-16 09:43:07.784
GTSCDR GTARC|SCDR,0,ou,2023-05-16 09:38:05.672,6,0,0,0:0:30,0,ou,2023-05-16 09:38:05.672,6,0,2023-05-16 09:43:07.828
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-16 09:38:05.749,6,0,0,0:0:30,0,ou,2023-05-16 09:38:05.749,6,0,2023-05-16 09:43:07.871
PRD_HC3 GTARC|AHC34,0,ou,2023-05-16 09:36:05.347,8,0,0,0:0:40,0,ou,2023-05-16 09:36:05.347,8,0,2023-05-16 09:43:07.914
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-16 09:34:07.934,10,0,0,0:0:50,0,ou,2023-05-16 09:34:07.934,10,0,2023-05-16 09:43:07.955
PRD2_TP GTARC|TAP0311,0,ou,2023-05-16 09:31:40.409,13,0,0,0:1:5,0,ou,2023-05-16 09:31:40.409,13,0,2023-05-16 09:43:07.997
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-16 09:31:41.850,13,0,0,0:1:5,0,ou,2023-05-16 09:31:41.850,13,0,2023-05-16 09:43:08.045
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-16 09:16:32.553,28,0,0,0:2:20,0,ou,2023-05-16 09:16:32.553,28,0,2023-05-16 09:43:08.086
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-16 09:16:33.620,28,0,0,0:2:20,0,ou,2023-05-16 09:16:33.620,28,0,2023-05-16 09:43:08.127
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-16 09:16:33.670,28,0,0,0:2:20,0,ou,2023-05-16 09:16:33.670,28,0,2023-05-16 09:43:08.166
