label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-07 17:31:03.151,3,0,0,0:0:15,0,eq,2023-05-07 17:31:03.151,3,0,2023-05-07 17:33:02.358
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-07 17:32:03.534,2,0,0,0:0:10,0,eq,2023-05-07 17:32:03.534,2,0,2023-05-07 17:33:02.914
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-05-07 17:32:04.507,2,0,0,0:0:10,0,eq,2023-05-07 17:32:04.507,2,0,2023-05-07 17:33:03.392
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-05-07 17:32:04.926,2,0,0,0:0:10,0,eq,2023-05-07 17:32:04.926,2,0,2023-05-07 17:33:04.006
MSCPROD GTARC|HMSC,0,eq,2023-05-07 17:26:03.952,8,0,0,0:0:40,0,eq,2023-05-07 17:26:03.952,8,0,2023-05-07 17:33:04.562
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-07 11:09:05.310,385,0,0,5:2:5,0,eq,2023-05-07 11:09:05.310,385,0,2023-05-07 17:33:05.030
MSCPROD GTICT|HMSCINT,0,eq,2023-05-07 17:22:05.343,12,0,0,0:1:0,0,eq,2023-05-07 17:22:05.343,12,0,2023-05-07 17:33:05.587
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-07 17:22:05.838,12,0,0,0:1:0,0,eq,2023-05-07 17:22:05.838,12,0,2023-05-07 17:33:06.220
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-07 16:33:03.871,61,0,0,0:5:5,0,eq,2023-05-07 16:33:03.871,61,0,2023-05-07 17:33:06.630
MSCPROD GTSGBDO|MSCREQ,0,eq,2023-05-07 17:27:04.907,7,0,0,0:0:35,0,eq,2023-05-07 17:27:04.907,7,0,2023-05-07 17:33:07.036
TOTAL,0,eq,2023-05-07 11:08:24.688,386,0,0,5:2:10,,eq,2023-05-07 11:08:24.688,386,0,2023-05-07 17:33:07.459
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-07 17:33:09.864,1,0,0,00:00:00,0,ou,2023-05-07 17:33:09.885,1,0,2023-05-07 17:33:09.866
MSCPROD GTARCEP|HMSC,0,ou,2023-05-07 17:26:06.159,8,0,0,0:0:40,0,ou,2023-05-07 17:26:06.159,8,0,2023-05-07 17:33:10.038
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-07 17:23:05.624,11,0,0,0:0:55,0,ou,2023-05-07 17:23:05.624,11,0,2023-05-07 17:33:10.254
GTSBC2 GTARC|SBC,0,ou,2023-05-07 17:17:05.464,17,0,0,0:1:25,0,ou,2023-05-07 17:17:05.464,17,0,2023-05-07 17:33:10.386
ARC_SMS GTARC|HSMSC,0,ou,2023-05-07 16:56:13.154,38,0,0,0:3:10,0,ou,2023-05-07 16:56:13.154,38,0,2023-05-07 17:33:10.650
MSCPROD GTARIS|HMSC,0,ou,2023-05-07 16:56:13.426,38,0,0,0:3:10,0,ou,2023-05-07 16:56:13.426,38,0,2023-05-07 17:33:10.723
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-07 16:56:13.514,38,0,0,0:3:10,0,ou,2023-05-07 16:56:13.514,38,0,2023-05-07 17:33:10.801
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-07 16:36:44.223,58,0,0,0:4:50,0,ou,2023-05-07 16:36:44.223,58,0,2023-05-07 17:33:10.843
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-07 16:01:07.102,93,0,0,1:1:45,0,ou,2023-05-07 16:01:07.102,93,0,2023-05-07 17:33:10.938
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-07 16:01:07.155,93,0,0,1:1:45,0,ou,2023-05-07 16:01:07.155,93,0,2023-05-07 17:33:11.020
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-07 15:51:06.992,103,0,0,1:2:35,0,ou,2023-05-07 15:51:06.992,103,0,2023-05-07 17:33:11.061
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-07 11:08:29.160,386,0,0,5:2:10,0,ou,2023-05-07 11:08:29.160,386,0,2023-05-07 17:33:11.189
