label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-08 16:17:03.426,1,0,0,00:00:00,0,eq,2023-05-08 16:17:03.446,1,0,2023-05-08 16:17:03.429
ARCSMS2 GTARC|HSMSC2,0,eq,2023-05-08 14:46:02.990,92,0,0,1:1:40,0,eq,2023-05-08 14:46:02.990,92,0,2023-05-08 16:17:03.632
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-05-08 16:16:04.691,2,0,0,0:0:10,0,eq,2023-05-08 16:16:04.691,2,0,2023-05-08 16:17:03.843
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-05-08 16:16:05.294,2,0,0,0:0:10,0,eq,2023-05-08 16:16:05.294,2,0,2023-05-08 16:17:04.046
GTSBC2 GTARC|SBC,0,eq,2023-05-08 16:17:04.247,1,0,0,00:00:00,0,eq,2023-05-08 16:17:04.270,1,0,2023-05-08 16:17:04.250
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-08 14:36:03.208,102,0,0,1:2:30,0,eq,2023-05-08 14:36:03.208,102,0,2023-05-08 16:17:04.460
MSCPROD GTARC|HMSC,0,eq,2023-05-08 16:16:06.374,2,0,0,0:0:10,0,eq,2023-05-08 16:16:06.374,2,0,2023-05-08 16:17:04.664
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-07 11:09:05.242,1749,0,0,24:1:45,0,eq,2023-05-07 11:09:05.242,1749,0,2023-05-08 16:17:04.853
MSCPROD GTICT|HMSCINT,0,eq,2023-05-08 16:12:03.656,6,0,0,0:0:30,0,eq,2023-05-08 16:12:03.656,6,0,2023-05-08 16:17:05.045
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-08 16:12:03.881,6,0,0,0:0:30,0,eq,2023-05-08 16:12:03.881,6,0,2023-05-08 16:17:05.240
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-08 11:17:05.100,301,0,0,4:1:5,0,eq,2023-05-08 11:17:05.100,301,0,2023-05-08 16:17:05.426
SBC_IMS GTARC|SBCIMS,0,eq,2023-05-08 16:16:07.558,2,0,0,0:0:10,0,eq,2023-05-08 16:16:07.558,2,0,2023-05-08 16:17:05.612
TOTAL,0,eq,2023-05-07 11:08:24.555,1750,0,0,24:1:50,,eq,2023-05-07 11:08:24.555,1750,0,2023-05-08 16:17:05.802
MSCPROD GTARCEP|HMSC,0,ou,2023-05-08 16:16:08.482,2,0,0,0:0:10,0,ou,2023-05-08 16:16:08.482,2,0,2023-05-08 16:17:06.470
ARC_SMS GTARC|HSMSC,0,ou,2023-05-08 16:11:06.666,7,0,0,0:0:35,0,ou,2023-05-08 16:11:06.666,7,0,2023-05-08 16:17:06.514
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-08 16:11:06.716,7,0,0,0:0:35,0,ou,2023-05-08 16:11:06.716,7,0,2023-05-08 16:17:06.560
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-08 16:11:06.763,7,0,0,0:0:35,0,ou,2023-05-08 16:11:06.763,7,0,2023-05-08 16:17:06.605
MSCPROD GTARIS|HMSC,0,ou,2023-05-08 16:02:06.211,16,0,0,0:1:20,0,ou,2023-05-08 16:02:06.211,16,0,2023-05-08 16:17:06.650
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-08 16:02:06.258,16,0,0,0:1:20,0,ou,2023-05-08 16:02:06.258,16,0,2023-05-08 16:17:06.695
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-08 16:02:06.306,16,0,0,0:1:20,0,ou,2023-05-08 16:02:06.306,16,0,2023-05-08 16:17:06.744
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-08 13:37:06.101,161,0,0,2:1:25,0,ou,2023-05-08 13:37:06.101,161,0,2023-05-08 16:17:06.788
GTSBC2 GTICT|SBCINT,0,ou,2023-05-08 12:17:06.844,241,0,0,3:2:5,0,ou,2023-05-08 12:17:06.844,241,0,2023-05-08 16:17:06.830
GTSBC2 GTICT|SBCNAT,0,ou,2023-05-08 12:17:06.888,241,0,0,3:2:5,0,ou,2023-05-08 12:17:06.888,241,0,2023-05-08 16:17:06.869
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-07 15:51:06.315,1467,0,0,20:2:15,0,ou,2023-05-07 15:51:06.315,1467,0,2023-05-08 16:17:06.909
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-07 11:08:27.210,1750,0,0,24:1:50,0,ou,2023-05-07 11:08:27.210,1750,0,2023-05-08 16:17:06.952
