label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,218,eq,2023-05-12 16:03:02.211,3,0,0,0:0:15,1885,eq,2023-05-12 16:03:02.211,3,0,2023-05-12 16:05:04.645
GTEVCTR GTSGBDO|CEVCTMA,337,eq,2023-05-12 16:03:02.457,3,0,0,0:0:15,1494,eq,2023-05-12 16:03:02.457,3,0,2023-05-12 16:05:06.656
GTOCS5D GTSGBDO|CBP52DA,2,in,2023-05-12 16:05:08.680,1,0,0,00:00:00,1166,in,2023-05-12 16:05:08.939,1,0,2023-05-12 16:05:08.706
GTOCS5L GTSGBDO|CBPLOAN,3,in,2023-05-12 16:05:10.432,1,0,0,00:00:00,345,in,2023-05-12 16:05:10.485,1,0,2023-05-12 16:05:10.438
GTOCS5M GTSGBDO|CBPMG52,2,in,2023-05-12 16:05:12.746,1,0,0,00:00:00,604,in,2023-05-12 16:05:12.792,1,0,2023-05-12 16:05:12.755
GTOCS5V GTSGBDO|CBPVO52,1,in,2023-05-12 16:05:13.438,1,0,0,00:00:00,104,in,2023-05-12 16:05:13.511,1,0,2023-05-12 16:05:13.441
TOTAL,563,up,2023-05-12 16:05:13.815,1,8,8,00:00:00,13423,up,2023-05-12 16:05:13.842,1,8,2023-05-12 16:05:13.818
GTEVC GTARC|OCEVC,2,ou,2023-05-12 15:57:03.045,9,0,0,0:0:45,30,ou,2023-05-12 15:57:03.045,9,0,2023-05-12 16:05:14.338
GTEVCTR GTARC|OCTRA,4,ou,2023-05-12 15:57:03.119,9,0,0,0:0:45,24,ou,2023-05-12 15:57:03.119,9,0,2023-05-12 16:05:14.410
ARC_MGR GTARC|OMGR,17,ou,2023-05-12 15:49:02.498,17,0,0,0:1:25,2503,ou,2023-05-12 15:49:02.498,17,0,2023-05-12 16:05:14.477
ARC_MON GTARC|OMON,3,ou,2023-05-12 15:49:02.555,17,0,0,0:1:25,720,ou,2023-05-12 15:49:02.555,17,0,2023-05-12 16:05:14.549
ARC_SMO GTARC|OSMS,1,ou,2023-05-12 15:49:02.638,17,0,0,0:1:25,553,ou,2023-05-12 15:49:02.638,17,0,2023-05-12 16:05:14.629
GTOCSMO GTSGBDO|CBPMON,6,ou,2023-05-12 15:49:02.691,17,0,0,0:1:25,884,ou,2023-05-12 15:49:02.691,17,0,2023-05-12 16:05:14.706
GTOCSMO GTSGBDO|CBPMON5,8,ou,2023-05-12 15:49:02.745,17,0,0,0:1:25,1029,ou,2023-05-12 15:49:02.745,17,0,2023-05-12 16:05:14.829
ARC_DAT GTARC|ODATA,2,ou,2023-05-12 15:43:02.763,23,0,0,0:1:55,550,ou,2023-05-12 15:43:02.763,23,0,2023-05-12 16:05:14.911
ARC_DAT GTSGBDO|OCSDATA,2,ou,2023-05-12 15:43:02.828,23,0,0,0:1:55,149,ou,2023-05-12 15:43:02.828,23,0,2023-05-12 16:05:15.007
ARC_MON GTSGBDO|OCSMON,8,ou,2023-05-12 15:43:02.944,23,0,0,0:1:55,213,ou,2023-05-12 15:43:02.944,23,0,2023-05-12 16:05:15.066
ARC_SMO GTSGBDO|OCSSMS,2,ou,2023-05-12 15:43:03.063,23,0,0,0:1:55,147,ou,2023-05-12 15:43:03.063,23,0,2023-05-12 16:05:15.135
ARC_MGR GTSGBDO|OCSMGR,11,ou,2023-05-12 15:37:03.316,29,0,0,0:2:25,660,ou,2023-05-12 15:37:03.316,29,0,2023-05-12 16:05:15.336
GTOCS5R GTSGBDO|CBPRE52,11,ou,2023-05-12 15:32:02.438,34,0,0,0:2:50,259,ou,2023-05-12 15:32:02.438,34,0,2023-05-12 16:05:15.603
ARC_REC GTARC|OREC,2,ou,2023-05-12 15:17:02.308,49,0,0,0:4:5,375,ou,2023-05-12 15:17:02.308,49,0,2023-05-12 16:05:15.789
ARC_GFT GTARC|OGFT,1,ou,2023-05-12 14:26:04.571,100,0,0,1:2:20,582,ou,2023-05-12 14:26:04.571,100,0,2023-05-12 16:05:15.976
ARC_GFT GTSGBDO|OCSGFT,1,ou,2023-05-12 14:26:04.641,100,0,0,1:2:20,424,ou,2023-05-12 14:26:04.641,100,0,2023-05-12 16:05:16.207
ARC_LOA GTARC|OCSL,1,ou,2023-05-12 14:16:05.186,110,0,0,1:3:10,235,ou,2023-05-12 14:16:05.186,110,0,2023-05-12 16:05:16.397
ARC_LOA GTSGBDO|OCSLOAN,1,ou,2023-05-12 14:16:05.274,110,0,0,1:3:10,182,ou,2023-05-12 14:16:05.274,110,0,2023-05-12 16:05:16.604
GTOCS5S GTSGBDO|CBPSM52,5,ou,2023-05-12 13:17:02.118,169,0,0,2:2:5,275,ou,2023-05-12 13:17:02.118,169,0,2023-05-12 16:05:16.808
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-12 10:27:02.788,339,0,0,4:4:15,13,ou,2023-05-12 10:27:02.788,339,0,2023-05-12 16:05:17.049
ARC_VOU GTARC|OVOU,6,ou,2023-05-12 10:26:04.151,340,0,0,4:4:20,242,ou,2023-05-12 10:26:04.151,340,0,2023-05-12 16:05:17.260
ARC_VOU GTSGBDO|OCSVOU,6,ou,2023-05-12 10:26:04.203,340,0,0,4:4:20,184,ou,2023-05-12 10:26:04.203,340,0,2023-05-12 16:05:17.494
ARC_REC GTSGBDO|OCSREC,1,ou,2023-05-12 07:36:05.949,510,0,0,7:0:30,107,ou,2023-05-12 07:36:05.949,510,0,2023-05-12 16:05:17.764
GTEVCTR GTSGBDO|CBPEVCT,1,ou,2023-05-11 23:19:02.727,1007,0,0,13:5:55,6,ou,2023-05-11 23:19:02.727,1007,0,2023-05-12 16:05:18.075
