label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,320,up,2023-05-16 09:42:03.644,2,2,7,0:0:10,320,up,2023-05-16 09:42:03.644,2,2,2023-05-16 09:43:02.033
GTEVCTR GTSGBDO|CEVCTMA,18,eq,2023-05-16 09:39:03.014,5,0,0,0:0:25,131,eq,2023-05-16 09:39:03.014,5,0,2023-05-16 09:43:02.252
TOTAL,338,dw,2023-05-16 09:43:02.483,1,-9,-9,00:00:00,650,dw,2023-05-16 09:43:02.509,1,-9,2023-05-16 09:43:02.486
GTEVC GTARC|OCEVC,2,ou,2023-05-16 09:43:02.708,1,0,0,00:00:00,9,ou,2023-05-16 09:43:02.729,1,0,2023-05-16 09:43:02.711
GTEVC GTSGBDO|CBPEVC,1,ou,2023-05-16 09:43:02.773,1,0,0,00:00:00,6,ou,2023-05-16 09:43:02.794,1,0,2023-05-16 09:43:02.776
GTOCSMO GTSGBDO|CBPMON,4,ou,2023-05-16 09:43:02.828,1,0,0,00:00:00,15,ou,2023-05-16 09:43:02.849,1,0,2023-05-16 09:43:02.831
GTOCSMO GTSGBDO|CBPMON5,4,ou,2023-05-16 09:43:02.882,1,0,0,00:00:00,16,ou,2023-05-16 09:43:02.903,1,0,2023-05-16 09:43:02.885
GTOCS5L GTSGBDO|CBPLOAN,9,ou,2023-05-16 09:31:02.007,13,0,0,0:1:5,14,ou,2023-05-16 09:31:02.007,13,0,2023-05-16 09:43:02.938
ARC_GFT GTARC|OGFT,9,ou,2023-05-16 09:27:02.777,17,0,0,0:1:25,24,ou,2023-05-16 09:27:02.777,17,0,2023-05-16 09:43:02.991
ARC_GFT GTSGBDO|OCSGFT,9,ou,2023-05-16 09:27:02.833,17,0,0,0:1:25,19,ou,2023-05-16 09:27:02.833,17,0,2023-05-16 09:43:03.042
ARC_LOA GTARC|OCSL,10,ou,2023-05-16 09:27:02.902,17,0,0,0:1:25,14,ou,2023-05-16 09:27:02.902,17,0,2023-05-16 09:43:03.092
ARC_LOA GTSGBDO|OCSLOAN,9,ou,2023-05-16 09:27:02.957,17,0,0,0:1:25,11,ou,2023-05-16 09:27:02.957,17,0,2023-05-16 09:43:03.142
ARC_REC GTARC|OREC,6,ou,2023-05-16 09:27:03.012,17,0,0,0:1:25,10,ou,2023-05-16 09:27:03.012,17,0,2023-05-16 09:43:03.190
ARC_REC GTSGBDO|OCSREC,5,ou,2023-05-16 09:27:03.064,17,0,0,0:1:25,5,ou,2023-05-16 09:27:03.064,17,0,2023-05-16 09:43:03.237
ARC_VOU GTARC|OVOU,3,ou,2023-05-16 09:27:03.115,17,0,0,0:1:25,3,ou,2023-05-16 09:27:03.115,17,0,2023-05-16 09:43:03.284
ARC_VOU GTSGBDO|OCSVOU,3,ou,2023-05-16 09:27:03.166,17,0,0,0:1:25,3,ou,2023-05-16 09:27:03.166,17,0,2023-05-16 09:43:03.331
GTOCS5M GTSGBDO|CBPMG52,7,ou,2023-05-16 09:27:03.272,17,0,0,0:1:25,7,ou,2023-05-16 09:27:03.272,17,0,2023-05-16 09:43:03.378
GTOCS5R GTSGBDO|CBPRE52,1,ou,2023-05-16 09:27:03.327,17,0,0,0:1:25,17,ou,2023-05-16 09:27:03.327,17,0,2023-05-16 09:43:03.426
GTOCS5S GTSGBDO|CBPSM52,1,ou,2023-05-16 09:27:03.383,17,0,0,0:1:25,5,ou,2023-05-16 09:27:03.383,17,0,2023-05-16 09:43:03.472
GTOCS5V GTSGBDO|CBPVO52,3,ou,2023-05-16 09:27:03.431,17,0,0,0:1:25,5,ou,2023-05-16 09:27:03.431,17,0,2023-05-16 09:43:03.520
ARC_MGR GTARC|OMGR,1,ou,2023-05-16 09:19:02.954,25,0,0,0:2:5,2,ou,2023-05-16 09:19:02.954,25,0,2023-05-16 09:43:03.565
ARC_MGR GTSGBDO|OCSMGR,1,ou,2023-05-16 09:19:03.010,25,0,0,0:2:5,1,ou,2023-05-16 09:19:03.010,25,0,2023-05-16 09:43:03.612
ARC_MON GTARC|OMON,1,ou,2023-05-16 09:19:03.065,25,0,0,0:2:5,1,ou,2023-05-16 09:19:03.065,25,0,2023-05-16 09:43:03.655
ARC_MON GTSGBDO|OCSMON,1,ou,2023-05-16 09:19:03.118,25,0,0,0:2:5,1,ou,2023-05-16 09:19:03.118,25,0,2023-05-16 09:43:03.696
GTOCS5D GTSGBDO|CBP52DA,11,ou,2023-05-16 09:17:18.535,27,0,0,0:2:15,54,ou,2023-05-16 09:17:18.535,27,0,2023-05-16 09:43:03.741
GTEVCTR GTARC|OCTRA,5,ou,2023-05-16 08:47:12.734,57,0,0,0:4:45,5,ou,2023-05-16 08:47:12.734,57,0,2023-05-16 09:43:03.782
ARC_DAT GTARC|ODATA,8,ou,2023-05-16 08:26:09.276,78,0,0,1:0:30,8,ou,2023-05-16 08:26:09.276,78,0,2023-05-16 09:43:03.821
