label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
MSCPROD GTARC|HMSC,0,eq,2023-05-07 17:06:03.514,4,0,0,0:0:20,0,eq,2023-05-07 17:06:03.514,4,0,2023-05-07 17:09:02.813
MSCPROD GTFSTAT|HMSC,0,eq,2023-05-07 11:09:05.310,361,0,0,5:0:5,0,eq,2023-05-07 11:09:05.310,361,0,2023-05-07 17:09:03.029
MSCPROD GTICT|HMSCINT,0,eq,2023-05-07 17:02:04.183,8,0,0,0:0:40,0,eq,2023-05-07 17:02:04.183,8,0,2023-05-07 17:09:03.250
MSCPROD GTICT|HMSCNAT,0,eq,2023-05-07 17:02:04.392,8,0,0,0:0:40,0,eq,2023-05-07 17:02:04.392,8,0,2023-05-07 17:09:03.464
MSCPROD GTMACH|GTNEXGN,0,eq,2023-05-07 16:33:03.871,37,0,0,0:3:5,0,eq,2023-05-07 16:33:03.871,37,0,2023-05-07 17:09:03.681
TOTAL,0,eq,2023-05-07 11:08:24.688,362,0,0,5:0:10,,eq,2023-05-07 11:08:24.688,362,0,2023-05-07 17:09:03.905
ARCPSMS GTARCEP|HSMSCO2,0,ou,2023-05-07 17:08:05.001,2,0,0,0:0:10,0,ou,2023-05-07 17:08:05.001,2,0,2023-05-07 17:09:05.580
ARCSMS2 GTARC|HSMSC2,0,ou,2023-05-07 17:08:05.049,2,0,0,0:0:10,0,ou,2023-05-07 17:08:05.049,2,0,2023-05-07 17:09:05.629
ARCSMS2 GTARCEP|HSMSC2,0,ou,2023-05-07 17:07:05.503,3,0,0,0:0:15,0,ou,2023-05-07 17:07:05.503,3,0,2023-05-07 17:09:05.678
ARCSMS2 GTARCEP|OSMSC2,0,ou,2023-05-07 17:07:05.551,3,0,0,0:0:15,0,ou,2023-05-07 17:07:05.551,3,0,2023-05-07 17:09:05.731
MSCPROD GTARCEP|HMSC,0,ou,2023-05-07 17:06:05.797,4,0,0,0:0:20,0,ou,2023-05-07 17:06:05.797,4,0,2023-05-07 17:09:05.778
GTSMSC2 GTSGBDO|ESMSC2,0,ou,2023-05-07 17:02:06.142,8,0,0,0:0:40,0,ou,2023-05-07 17:02:06.142,8,0,2023-05-07 17:09:05.823
ARC_SMS GTARC|HSMSC,0,ou,2023-05-07 16:56:13.154,14,0,0,0:1:10,0,ou,2023-05-07 16:56:13.154,14,0,2023-05-07 17:09:05.868
MSCPROD GTARIS|HMSC,0,ou,2023-05-07 16:56:13.426,14,0,0,0:1:10,0,ou,2023-05-07 16:56:13.426,14,0,2023-05-07 17:09:05.915
MSCPROD GTSGBDO|MSCMAS,0,ou,2023-05-07 16:56:13.514,14,0,0,0:1:10,0,ou,2023-05-07 16:56:13.514,14,0,2023-05-07 17:09:05.961
MSCPROD GTSGBDO|MSCREQ,0,ou,2023-05-07 16:56:13.653,14,0,0,0:1:10,0,ou,2023-05-07 16:56:13.653,14,0,2023-05-07 17:09:06.006
SBC_IMS GTARC|SBCIMS,0,ou,2023-05-07 16:56:13.738,14,0,0,0:1:10,0,ou,2023-05-07 16:56:13.738,14,0,2023-05-07 17:09:06.051
GTSBC2 GTARC|SBC,0,ou,2023-05-07 16:49:06.440,21,0,0,0:1:45,0,ou,2023-05-07 16:49:06.440,21,0,2023-05-07 17:09:06.094
GTSMSCT GTSGBDO|ESMSC,0,ou,2023-05-07 16:36:44.223,34,0,0,0:2:50,0,ou,2023-05-07 16:36:44.223,34,0,2023-05-07 17:09:06.136
ARC_SMS GTARCEP|HSMSC,0,ou,2023-05-07 16:01:07.102,69,0,0,0:5:45,0,ou,2023-05-07 16:01:07.102,69,0,2023-05-07 17:09:06.177
ARC_SMS GTARCEP|OSMSC,0,ou,2023-05-07 16:01:07.155,69,0,0,0:5:45,0,ou,2023-05-07 16:01:07.155,69,0,2023-05-07 17:09:06.219
SBC_IMS GTICT|IMS_NAT,0,ou,2023-05-07 15:51:06.992,79,0,0,1:0:35,0,ou,2023-05-07 15:51:06.992,79,0,2023-05-07 17:09:06.259
SBC_IMS GTICT|IMS_INT,0,ou,2023-05-07 11:08:29.160,362,0,0,5:0:10,0,ou,2023-05-07 11:08:29.160,362,0,2023-05-07 17:09:06.299
