label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARC_MON GTARC|OMON,0,in,2023-05-12 16:06:03.623,1,0,0,00:00:00,0,in,2023-05-12 16:06:03.758,1,0,2023-05-12 16:06:03.641
ARC_SMO GTARC|OSMS,0,in,2023-05-12 16:06:04.687,1,0,0,00:00:00,0,in,2023-05-12 16:06:04.837,1,0,2023-05-12 16:06:04.708
ARC_SMO GTSGBDO|OCSSMS,0,in,2023-05-12 16:06:05.763,1,0,0,00:00:00,0,in,2023-05-12 16:06:05.825,1,0,2023-05-12 16:06:05.767
GTEVC GTSGBDO|CBEVCMA,0,eq,2023-05-12 07:47:06.032,500,0,0,6:5:40,0,eq,2023-05-12 07:47:06.032,500,0,2023-05-12 16:06:06.231
GTEVCTR GTARC|OCTRA,0,in,2023-05-12 16:06:06.588,1,0,0,00:00:00,0,in,2023-05-12 16:06:06.618,1,0,2023-05-12 16:06:06.591
GTEVCTR GTSGBDO|CEVCTMA,0,eq,2023-05-12 07:47:08.031,500,0,0,6:5:40,0,eq,2023-05-12 07:47:08.031,500,0,2023-05-12 16:06:06.882
GTOCSMO GTSGBDO|CBPMON,0,in,2023-05-12 16:06:07.169,1,0,0,00:00:00,0,in,2023-05-12 16:06:07.196,1,0,2023-05-12 16:06:07.171
GTOCSMO GTSGBDO|CBPMON5,0,in,2023-05-12 16:06:07.435,1,0,0,00:00:00,0,in,2023-05-12 16:06:07.464,1,0,2023-05-12 16:06:07.438
TOTAL,0,eq,2023-05-12 07:47:11.816,500,0,0,6:5:40,0,eq,2023-05-12 07:47:11.816,500,0,2023-05-12 16:06:07.707
GTOCS5D GTSGBDO|CBP52DA,0,ou,2023-05-12 16:06:09.964,1,0,0,00:00:00,0,ou,2023-05-12 16:06:09.987,1,0,2023-05-12 16:06:09.967
GTOCS5L GTSGBDO|CBPLOAN,0,ou,2023-05-12 16:06:10.033,1,0,0,00:00:00,0,ou,2023-05-12 16:06:10.056,1,0,2023-05-12 16:06:10.037
GTOCS5M GTSGBDO|CBPMG52,0,ou,2023-05-12 16:06:10.102,1,0,0,00:00:00,0,ou,2023-05-12 16:06:10.126,1,0,2023-05-12 16:06:10.106
GTOCS5V GTSGBDO|CBPVO52,0,ou,2023-05-12 16:06:10.173,1,0,0,00:00:00,0,ou,2023-05-12 16:06:10.196,1,0,2023-05-12 16:06:10.176
GTEVC GTARC|OCEVC,0,ou,2023-05-12 15:57:05.896,10,0,0,0:0:50,0,ou,2023-05-12 15:57:05.896,10,0,2023-05-12 16:06:10.240
ARC_MGR GTARC|OMGR,0,ou,2023-05-12 15:49:05.128,18,0,0,0:1:30,0,ou,2023-05-12 15:49:05.128,18,0,2023-05-12 16:06:10.311
ARC_DAT GTARC|ODATA,0,ou,2023-05-12 15:43:05.639,24,0,0,0:2:0,0,ou,2023-05-12 15:43:05.639,24,0,2023-05-12 16:06:10.374
ARC_DAT GTSGBDO|OCSDATA,0,ou,2023-05-12 15:43:05.696,24,0,0,0:2:0,0,ou,2023-05-12 15:43:05.696,24,0,2023-05-12 16:06:10.438
ARC_MON GTSGBDO|OCSMON,0,ou,2023-05-12 15:43:05.808,24,0,0,0:2:0,0,ou,2023-05-12 15:43:05.808,24,0,2023-05-12 16:06:10.485
ARC_MGR GTSGBDO|OCSMGR,0,ou,2023-05-12 15:37:06.068,30,0,0,0:2:30,0,ou,2023-05-12 15:37:06.068,30,0,2023-05-12 16:06:10.529
GTOCS5R GTSGBDO|CBPRE52,0,ou,2023-05-12 15:32:04.991,35,0,0,0:2:55,0,ou,2023-05-12 15:32:04.991,35,0,2023-05-12 16:06:10.575
ARC_REC GTARC|OREC,0,ou,2023-05-12 15:17:05.124,50,0,0,0:4:10,0,ou,2023-05-12 15:17:05.124,50,0,2023-05-12 16:06:10.617
ARC_GFT GTARC|OGFT,0,ou,2023-05-12 14:26:07.474,101,0,0,1:2:25,0,ou,2023-05-12 14:26:07.474,101,0,2023-05-12 16:06:10.659
ARC_GFT GTSGBDO|OCSGFT,0,ou,2023-05-12 14:26:07.530,101,0,0,1:2:25,0,ou,2023-05-12 14:26:07.530,101,0,2023-05-12 16:06:10.699
ARC_LOA GTARC|OCSL,0,ou,2023-05-12 14:16:10.930,111,0,0,1:3:15,0,ou,2023-05-12 14:16:10.930,111,0,2023-05-12 16:06:10.739
ARC_LOA GTSGBDO|OCSLOAN,0,ou,2023-05-12 14:16:10.982,111,0,0,1:3:15,0,ou,2023-05-12 14:16:10.982,111,0,2023-05-12 16:06:10.785
GTOCS5S GTSGBDO|CBPSM52,0,ou,2023-05-12 13:17:04.642,170,0,0,2:2:10,0,ou,2023-05-12 13:17:04.642,170,0,2023-05-12 16:06:10.824
GTEVC GTSGBDO|CBPEVC,0,ou,2023-05-12 10:27:05.408,340,0,0,4:4:20,0,ou,2023-05-12 10:27:05.408,340,0,2023-05-12 16:06:10.862
ARC_VOU GTARC|OVOU,0,ou,2023-05-12 10:26:06.722,341,0,0,4:4:25,0,ou,2023-05-12 10:26:06.722,341,0,2023-05-12 16:06:10.899
ARC_VOU GTSGBDO|OCSVOU,0,ou,2023-05-12 10:26:06.776,341,0,0,4:4:25,0,ou,2023-05-12 10:26:06.776,341,0,2023-05-12 16:06:10.936
