label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
ARCPSMS GTARCEP|HSMSCO2,14222,up,2023-05-16 09:26:02.465,1,53,53,00:00:00,14387,up,2023-05-16 09:26:02.486,1,53,2023-05-16 09:26:02.468
ARCSMS2 GTARC|HSMSC2,10,up,2023-05-16 09:26:02.678,1,8,8,00:00:00,412,up,2023-05-16 09:26:02.699,1,8,2023-05-16 09:26:02.681
ARCSMS2 GTARCEP|HSMSC2,9,in,2023-05-16 09:26:02.883,1,0,0,00:00:00,229,in,2023-05-16 09:26:02.912,1,0,2023-05-16 09:26:02.886
ARCSMS2 GTARCEP|OSMSC2,9,in,2023-05-16 09:26:03.143,1,0,0,00:00:00,232,in,2023-05-16 09:26:03.175,1,0,2023-05-16 09:26:03.146
GTSBC2 GTARC|SBC,1,eq,2023-05-16 09:23:03.346,4,0,0,0:0:20,1,eq,2023-05-16 09:23:03.346,4,0,2023-05-16 09:26:03.404
GTSMSC2 GTSGBDO|ESMSC2,134,up,2023-05-16 09:26:03.607,1,48,48,00:00:00,344,up,2023-05-16 09:26:03.629,1,48,2023-05-16 09:26:03.610
MSCPROD GTARC|HMSC,79,up,2023-05-16 09:26:03.816,1,12,12,00:00:00,137,up,2023-05-16 09:26:03.840,1,12,2023-05-16 09:26:03.819
MSCPROD GTARCEP|HMSC,9,up,2023-05-16 09:26:04.018,1,8,8,00:00:00,21,up,2023-05-16 09:26:04.041,1,8,2023-05-16 09:26:04.021
MSCPROD GTARIS|HMSC,12,in,2023-05-16 09:26:04.235,1,0,0,00:00:00,14,in,2023-05-16 09:26:04.267,1,0,2023-05-16 09:26:04.238
MSCPROD GTFSTAT|HMSC,473,up,2023-05-16 09:26:04.496,1,15,15,00:00:00,879,up,2023-05-16 09:26:04.519,1,15,2023-05-16 09:26:04.499
MSCPROD GTICT|HMSCINT,15,in,2023-05-16 09:26:04.719,1,0,0,00:00:00,70,in,2023-05-16 09:26:04.753,1,0,2023-05-16 09:26:04.723
MSCPROD GTICT|HMSCNAT,15,in,2023-05-16 09:26:04.977,1,0,0,00:00:00,67,in,2023-05-16 09:26:05.006,1,0,2023-05-16 09:26:04.980
MSCPROD GTMACH|GTNEXGN,15,in,2023-05-16 09:26:05.208,1,0,0,00:00:00,116,in,2023-05-16 09:26:05.238,1,0,2023-05-16 09:26:05.210
MSCPROD GTSGBDO|MSCMAS,8,in,2023-05-16 09:26:05.445,1,0,0,00:00:00,42,in,2023-05-16 09:26:05.480,1,0,2023-05-16 09:26:05.448
MSCPROD GTSGBDO|MSCREQ,32,up,2023-05-16 09:26:05.687,1,15,15,00:00:00,56,up,2023-05-16 09:26:05.712,1,15,2023-05-16 09:26:05.690
SBC_IMS GTARC|SBCIMS,3,up,2023-05-16 09:26:05.892,1,1,1,00:00:00,4,up,2023-05-16 09:26:05.916,1,1,2023-05-16 09:26:05.895
TOTAL,15046,up,2023-05-16 09:26:06.093,1,243,243,00:00:00,31414,up,2023-05-16 09:26:06.117,1,243,2023-05-16 09:26:06.096
GTSMSCT GTSGBDO|ESMSC,1,ou,2023-05-16 09:25:06.548,2,0,0,0:0:10,4,ou,2023-05-16 09:25:06.548,2,0,2023-05-16 09:26:06.281
ARC_SMS GTARC|HSMSC,1,ou,2023-05-16 09:17:05.656,10,0,0,0:0:50,2,ou,2023-05-16 09:17:05.656,10,0,2023-05-16 09:26:06.325
ARC_SMS GTARCEP|HSMSC,1,ou,2023-05-16 09:17:05.704,10,0,0,0:0:50,2,ou,2023-05-16 09:17:05.704,10,0,2023-05-16 09:26:06.368
ARC_SMS GTARCEP|OSMSC,1,ou,2023-05-16 09:16:06.668,11,0,0,0:0:55,2,ou,2023-05-16 09:16:06.668,11,0,2023-05-16 09:26:06.410
