label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
GTEVC GTSGBDO|CBEVCMA,44,eq,2023-05-08 11:16:06.149,4,0,0,0:0:20,2569,eq,2023-05-08 11:16:06.149,4,0,2023-05-08 11:19:02.102
GTEVCTR GTSGBDO|CEVCTMA,196,eq,2023-05-08 11:16:07.715,4,0,0,0:0:20,1948,eq,2023-05-08 11:16:07.715,4,0,2023-05-08 11:19:02.321
TOTAL,240,dw,2023-05-08 11:19:02.544,1,-12,-12,00:00:00,16657,dw,2023-05-08 11:19:02.572,1,-12,2023-05-08 11:19:02.547
GTOCSMO GTSGBDO|CBPMON,6,ou,2023-05-08 11:19:02.791,1,0,0,00:00:00,1404,ou,2023-05-08 11:19:02.814,1,0,2023-05-08 11:19:02.794
GTOCSMO GTSGBDO|CBPMON5,6,ou,2023-05-08 11:19:02.855,1,0,0,00:00:00,1618,ou,2023-05-08 11:19:02.877,1,0,2023-05-08 11:19:02.858
GTOCS5D GTSGBDO|CBP52DA,11,ou,2023-05-08 11:18:05.997,2,0,0,0:0:10,1164,ou,2023-05-08 11:18:05.997,2,0,2023-05-08 11:19:02.919
ARC_REC GTARC|OREC,4,ou,2023-05-08 11:17:06.062,3,0,0,0:0:15,255,ou,2023-05-08 11:17:06.062,3,0,2023-05-08 11:19:02.977
GTOCS5R GTSGBDO|CBPRE52,4,ou,2023-05-08 11:12:04.266,8,0,0,0:0:40,241,ou,2023-05-08 11:12:04.266,8,0,2023-05-08 11:19:03.036
GTOCS5V GTSGBDO|CBPVO52,1,ou,2023-05-08 11:06:05.331,14,0,0,0:1:10,525,ou,2023-05-08 11:06:05.331,14,0,2023-05-08 11:19:03.092
ARC_DAT GTARC|ODATA,5,ou,2023-05-08 10:49:02.936,31,0,0,0:2:35,758,ou,2023-05-08 10:49:02.936,31,0,2023-05-08 11:19:03.148
ARC_MGR GTARC|OMGR,21,ou,2023-05-08 10:49:02.992,31,0,0,0:2:35,2784,ou,2023-05-08 10:49:02.992,31,0,2023-05-08 11:19:03.208
ARC_MON GTARC|OMON,7,ou,2023-05-08 10:49:03.048,31,0,0,0:2:35,909,ou,2023-05-08 10:49:03.048,31,0,2023-05-08 11:19:03.263
ARC_SMO GTARC|OSMS,5,ou,2023-05-08 10:49:03.105,31,0,0,0:2:35,597,ou,2023-05-08 10:49:03.105,31,0,2023-05-08 11:19:03.321
ARC_VOU GTARC|OVOU,6,ou,2023-05-08 10:46:11.815,34,0,0,0:2:50,301,ou,2023-05-08 10:46:11.815,34,0,2023-05-08 11:19:03.369
ARC_VOU GTSGBDO|OCSVOU,6,ou,2023-05-08 10:46:12.225,34,0,0,0:2:50,222,ou,2023-05-08 10:46:12.225,34,0,2023-05-08 11:19:03.416
ARC_MGR GTSGBDO|OCSMGR,10,ou,2023-05-08 10:37:03.173,43,0,0,0:3:35,1148,ou,2023-05-08 10:37:03.173,43,0,2023-05-08 11:19:03.463
ARC_MON GTSGBDO|OCSMON,2,ou,2023-05-08 10:37:03.302,43,0,0,0:3:35,279,ou,2023-05-08 10:37:03.302,43,0,2023-05-08 11:19:03.509
