label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
PRD_HC3 GTICT|HC34NAT,0,eq,2023-05-09 06:16:01.804,584,0,0,8:0:40,0,eq,2023-05-09 06:16:01.804,584,0,2023-05-09 15:59:01.738
TOTAL,0,eq,2023-05-05 22:08:31.983,5392,0,0,74:5:20,0,eq,2023-05-05 22:08:31.983,5392,0,2023-05-09 15:59:02.207
PGWCDRM GTARC|PGWCD,0,ou,2023-05-09 15:54:09.099,6,0,0,0:0:30,0,ou,2023-05-09 15:54:09.099,6,0,2023-05-09 15:59:04.078
SGWCDRM GTARC|SGWCDR,0,ou,2023-05-09 15:54:09.234,6,0,0,0:0:30,0,ou,2023-05-09 15:54:09.234,6,0,2023-05-09 15:59:04.189
SGWCDRM GTSGBDO|LTES4GR,0,ou,2023-05-09 15:53:04.680,7,0,0,0:0:35,0,ou,2023-05-09 15:53:04.680,7,0,2023-05-09 15:59:04.295
SGWCDRM GTSGBDO|LTESGMA,0,ou,2023-05-09 15:53:04.830,7,0,0,0:0:35,0,ou,2023-05-09 15:53:04.830,7,0,2023-05-09 15:59:04.430
PGWCDRM GTARC|LTEM,0,ou,2023-05-09 15:52:08.509,8,0,0,0:0:40,0,ou,2023-05-09 15:52:08.509,8,0,2023-05-09 15:59:04.536
PGWCDRM GTSGBDO|LTEPGMA,0,ou,2023-05-09 15:52:08.672,8,0,0,0:0:40,0,ou,2023-05-09 15:52:08.672,8,0,2023-05-09 15:59:04.637
PGWCDRM GTSGBDO|LTEPGQ4,0,ou,2023-05-09 15:52:08.788,8,0,0,0:0:40,0,ou,2023-05-09 15:52:08.788,8,0,2023-05-09 15:59:04.737
SGWCDRM GTMACH|NEXGT,0,ou,2023-05-09 15:52:08.892,8,0,0,0:0:40,0,ou,2023-05-09 15:52:08.892,8,0,2023-05-09 15:59:04.837
PRD_HC3 GTARIS|AHC34,0,ou,2023-05-09 15:46:07.021,14,0,0,0:1:10,0,ou,2023-05-09 15:46:07.021,14,0,2023-05-09 15:59:04.907
PRD_HC3 GTSGBDO|HC34MA,0,ou,2023-05-09 15:46:07.098,14,0,0,0:1:10,0,ou,2023-05-09 15:46:07.098,14,0,2023-05-09 15:59:04.984
GTSCDR GTMACH|NEXGT,0,ou,2023-05-09 15:44:05.081,16,0,0,0:1:20,0,ou,2023-05-09 15:44:05.081,16,0,2023-05-09 15:59:05.055
GTSCDR GTSGBDO|LTESCMA,0,ou,2023-05-09 15:44:05.186,16,0,0,0:1:20,0,ou,2023-05-09 15:44:05.186,16,0,2023-05-09 15:59:05.138
GTSCDR GTSGBDO|LTSC3GR,0,ou,2023-05-09 15:44:05.245,16,0,0,0:1:20,0,ou,2023-05-09 15:44:05.245,16,0,2023-05-09 15:59:05.186
PRD2_TP GTARC|TAP0311,0,ou,2023-05-09 15:41:13.543,19,0,0,0:1:35,0,ou,2023-05-09 15:41:13.543,19,0,2023-05-09 15:59:05.253
PRD2_TP GTARIS|TAP0312,0,ou,2023-05-09 15:41:13.610,19,0,0,0:1:35,0,ou,2023-05-09 15:41:13.610,19,0,2023-05-09 15:59:05.314
GTSCDR GTARC|SCDR,0,ou,2023-05-09 15:34:05.066,26,0,0,0:2:10,0,ou,2023-05-09 15:34:05.066,26,0,2023-05-09 15:59:05.381
PRD_HC3 GTARC|AHC34,0,ou,2023-05-09 15:26:16.025,34,0,0,0:2:50,0,ou,2023-05-09 15:26:16.025,34,0,2023-05-09 15:59:05.442
PRD_HC3 GTICT|HC34INT,0,ou,2023-05-09 13:56:05.739,124,0,0,1:4:20,0,ou,2023-05-09 13:56:05.739,124,0,2023-05-09 15:59:05.486
PRD_HC3 GTSGBDO|HC3EMRQ,0,ou,2023-05-09 13:56:05.954,124,0,0,1:4:20,0,ou,2023-05-09 13:56:05.954,124,0,2023-05-09 15:59:05.529
