[2023-05-16 09:23:06] local.INFO: execTreatment 1, downloadfile  
[2023-05-16 09:23:11] local.INFO: execTreatment 2, downloadfile  
[2023-05-16 09:23:15] local.INFO: execTreatment 1, importfile  
[2023-05-16 09:23:18] local.INFO: execTreatment 3, downloadfile  
[2023-05-16 09:23:24] local.INFO: execTreatment 4, downloadfile  
[2023-05-16 09:23:30] local.INFO: execTreatment 5, downloadfile  
[2023-05-16 09:23:36] local.INFO: execTreatment 6, downloadfile  
[2023-05-16 09:23:42] local.INFO: execTreatment 7, downloadfile  
[2023-05-16 09:23:48] local.INFO: execTreatment 8, downloadfile  
[2023-05-16 09:23:54] local.INFO: execTreatment 9, downloadfile  
[2023-05-16 09:24:23] local.INFO: execTreatment 2, importfile  
[2023-05-16 09:24:51] local.INFO: execTreatment 3, importfile  
[2023-05-16 09:24:55] local.INFO: execTreatment 2, mergerows  
[2023-05-16 09:25:17] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:25:55] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:06] local.INFO: execTreatment 4, importfile  
[2023-05-16 09:26:22] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:31] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:46] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:48] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:50] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:53] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:55] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:57] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:26:59] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:01] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:03] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:16] local.INFO: execTreatment 5, importfile  
[2023-05-16 09:27:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:31] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:33] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:35] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:53] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:56] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:27:58] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:01] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:06] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:10] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:35] local.INFO: execTreatment 6, importfile  
[2023-05-16 09:28:36] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:38] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:40] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:43] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:47] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:28:49] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:05] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:09] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:11] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:15] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:19] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:23] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:44] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:44] local.INFO: execTreatment 7, importfile  
[2023-05-16 09:29:46] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:49] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:50] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:52] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:53] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:29:55] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:12] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:15] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:18] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:20] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:22] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:24] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:30] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:50] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:52] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:53] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:54] local.INFO: execTreatment 8, importfile  
[2023-05-16 09:30:56] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:30:58] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:00] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:02] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:23] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:25] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:29] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:32] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:34] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:48] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:51] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:52] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:55] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:56] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:58] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:31:59] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:01] local.INFO: execTreatment 9, importfile  
[2023-05-16 09:32:02] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:05] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:22] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:24] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:30] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:33] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:46] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:48] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:51] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:54] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:56] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:32:58] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:00] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:04] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:27] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:29] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:30] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:32] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:34] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:35] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:36] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:38] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:52] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:54] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:56] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:57] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:33:59] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:01] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:03] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:12] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:14] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:16] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:17] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:20] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:22] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:24] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:26] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:28] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:38] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:41] local.INFO: execTreatment 2, notifyfile  
[2023-05-16 09:34:42] local.INFO: execTreatment 2, notifyfile  
